"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2","tau_m_investment","tau_m_social","tau_m_ex_inv","tau_m_ex_soc","tau_f_investment","tau_f_social","tau_f_ex_inv","tau_f_ex_soc","tau_both_investment","tau_both_social","tau_both_ex_inv","tau_both_ex_soc","relative_present","informal_invest","formal_invest","relative_invest","formal","relative","informal","tau_m_socinvest","tau_f_socinvest","tau_both_socinvest"
"372",323032,2002,36.2666666666667,16.6833333333333,36.2666666666667,15.6833333333333,11.2666666666667,4.16666666666667,8.45,4.9,10.1166666666667,4.16666666666667,6.36666666666667,4.9,6.36666666666667,4.16666666666667,8.45,4.9,10.1166666666667,0,0,0,0,0,0,0,15.0166666666667,11.2666666666667,15.0166666666667
"373",323032,2007,19.6666666666667,19.5,25.3333333333333,13,12.8333333333333,0,10.3333333333333,0,13,3.5,4.5,5.66666666666667,7.16666666666667,3.5,10.3333333333333,5.66666666666667,13,6.16666666666667,0,0,0,0,0,1.66666666666667,13,12.8333333333333,18.6666666666667
"374",323033,1997,13.3833333333333,21.8833333333333,26.9666666666667,12.55,21.3833333333333,4.75,3.16666666666667,4.75,3.3,8.25,8,8.25,8.13333333333333,13,8,13,8.13333333333333,31.95,0,0,15,0,23.75,0,8.05,16.3833333333333,21.1333333333333
"375",323033,2002,26.6166666666667,17.6166666666667,32.2,17.7,17.6166666666667,4.5,11.8666666666667,5.16666666666667,11.8666666666667,9.91666666666667,6.86666666666667,10.5833333333333,6.86666666666667,9.91666666666667,11.8666666666667,10.5833333333333,11.8666666666667,0,0,0,0,0,0,1.25,17.0333333333333,17.45,22.45
"376",323033,2007,6,7.41666666666667,7.41666666666667,6,7.41666666666667,0,3.33333333333333,0,6,0,3.33333333333333,1.41666666666667,6,0,3.33333333333333,1.41666666666667,6,2.83333333333333,9.5,0,0,0,0,10.75,6,7.41666666666667,7.41666666666667
"377",323034,1997,46.1666666666667,19.1666666666667,48.3333333333333,46.1666666666667,19.1666666666667,32.1666666666667,9,34.25,10.6666666666667,14.8333333333333,3.5,14.8333333333333,4.33333333333333,34.3333333333333,9,36.4166666666667,10.6666666666667,0,0,0,0,0,0,0,44.9166666666667,19.1666666666667,47.0833333333333
"378",323034,2002,22.6666666666667,8.83333333333333,23.5,21,7.16666666666667,1.33333333333333,6.25,1.75,17.4166666666667,0.833333333333333,1,0.833333333333333,6.33333333333333,2.16666666666667,6.25,2.58333333333333,17.4166666666667,0,7.08333333333333,0,0,0,0,14.6666666666667,19.1666666666667,7.16666666666667,20
"379",323034,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"380",327033,1997,32.75,32.75,47.25,32.75,32.75,17.8333333333333,4.41666666666667,19.1666666666667,4.41666666666667,19.2833333333333,2.83333333333333,20.75,2.83333333333333,30.8666666666667,5.75,32.3333333333333,5.75,33.6666666666667,0,0,9.16666666666667,0,9.16666666666667,0,23.5833333333333,23.5833333333333,38.0833333333333
"381",327033,2002,15.0833333333333,12.5,15.0833333333333,14.0833333333333,11.5,4,8.41666666666667,5.66666666666667,8.41666666666667,4,7.5,4,7.5,4,8.41666666666667,5.66666666666667,8.41666666666667,0,0,0,0,0,0,1.66666666666667,14.0833333333333,11.5,14.0833333333333
"382",327033,2007,7.33333333333333,25.4166666666667,25.4166666666667,0,8.08333333333333,0,0,0,0,0,4.75,0.833333333333333,4.75,0,4.75,0.833333333333333,4.75,0.833333333333333,0,0,0,0,0,2.66666666666667,0,5.58333333333333,5.58333333333333
"383",343032,1997,44.25,7.66666666666667,48.9166666666667,44.25,7.66666666666667,19.6666666666667,4.33333333333333,23.3333333333333,7.16666666666667,4.16666666666667,1,4.16666666666667,3,23.8333333333333,4.33333333333333,27.5,7.16666666666667,3.75,4,0,0,0,0,8,30.5,7.16666666666667,34.6666666666667
"384",343032,2002,7.08333333333333,13.3333333333333,18.5833333333333,7.08333333333333,12,0,5.25,0,7.08333333333333,6.66666666666667,2.5,8.16666666666667,2.83333333333333,6.66666666666667,6.25,8.16666666666667,8.08333333333333,0,0,0,0,0,0,2.08333333333333,7.08333333333333,11,16.25
"385",343032,2007,8,16.1166666666667,17.9833333333333,6.73333333333333,14.85,0,2.56666666666667,0,3.3,0,2.15,3.75,2.68333333333333,0,3.81666666666667,3.75,4.55,0,8.75,0,0,0,0,8.75,3.3,6.43333333333333,8.3
"386",343033,1997,43,13.6666666666667,54.6666666666667,43,13.6666666666667,14.5,17,16.1666666666667,21.8333333333333,9.16666666666667,2.5,9.16666666666667,4.5,23.6666666666667,19.5,25.3333333333333,24.3333333333333,0,5.5,0,0,0,0,5.5,38,13.6666666666667,49.6666666666667
"387",343033,2002,7.08333333333333,4.5,10.0833333333333,7.08333333333333,4.5,0,5.25,0,6.25,1.66666666666667,2.83333333333333,1.66666666666667,2.83333333333333,1.66666666666667,6.58333333333333,1.66666666666667,7.58333333333333,0,0,0,0,0,0,2.66666666666667,6.25,4.5,9.25
"388",343033,2007,17.5833333333333,15.8333333333333,24.5833333333333,17.5833333333333,15.8333333333333,5.08333333333333,7.33333333333333,5.08333333333333,8.66666666666667,2.33333333333333,4,5.83333333333333,4.5,6.08333333333333,7.33333333333333,9.58333333333333,8.66666666666667,0,0,0,0,0,0,2.91666666666667,13.75,10.3333333333333,18.25
"389",344031,2002,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,0,2,0,4.83333333333333,0,2,0,4.83333333333333,0,2,0,4.83333333333333,0,0,0,0,0,0,5.16666666666667,4.83333333333333,4.83333333333333,4.83333333333333
"390",344032,2002,3.5,0,3.5,3.5,0,0,2,0,3.5,0,0,0,0,0,2,0,3.5,0,0,0,0,0,0,6.5,3.5,0,3.5
"391",344033,1997,18.1666666666667,16.5,20.1666666666667,8.16666666666667,6.5,0,5,2.5,5.66666666666667,0,4.5,2,4.5,0,5,4.5,5.66666666666667,1.66666666666667,0,0,0,0,1.66666666666667,0,8.16666666666667,6.5,10.1666666666667
"392",344033,2002,9.83333333333333,16.4166666666667,19.0833333333333,5.83333333333333,6.58333333333333,0,3.16666666666667,1.66666666666667,3.16666666666667,0,5.75,0,5.75,0,5.75,1.66666666666667,5.75,20,0,0,0,0,0,0,4.83333333333333,5.75,7.41666666666667
"393",344034,1997,18,15.1666666666667,18.6666666666667,8,5.16666666666667,0,5.5,2.5,5.5,0,5.16666666666667,0,5.16666666666667,0,6.16666666666667,2.5,6.16666666666667,1.66666666666667,0,0,0,0,0,0,8,5.16666666666667,8.66666666666667
"394",344034,2002,11.4166666666667,12.5833333333333,15.1666666666667,7.41666666666667,8.58333333333333,0,2.33333333333333,3.75,2.33333333333333,0,4.41666666666667,4.16666666666667,4.41666666666667,0,4.41666666666667,5.41666666666667,4.41666666666667,7.08333333333333,0,0,0,0,0,0,6.08333333333333,8.58333333333333,9.83333333333333
"395",344034,2007,1.58333333333333,7.58333333333333,9.16666666666667,1.58333333333333,0.75,0,0,0.833333333333333,0.333333333333333,0,0,0,0,0,0,0.833333333333333,0.333333333333333,0,0,0,0,0,0,0,1.16666666666667,0,1.16666666666667
