"","MID","FID","earn","earnu","wage","ww","hw","year","hrs"
"22519",6229006,6229006,0,0,NA,0,0,1997,0
"22520",6229031,6229031,0,0,NA,0,0,1997,0
"22521",6229032,6229032,0,0,NA,0,0,1997,0
"22522",6229180,6229180,35000,6,17.16,51,40,1997,2040
"22523",6229181,6229181,0,0,NA,0,0,1997,0
"22524",6231008,6231008,20000,6,9.62,52,40,1997,2080
"22525",6231031,6231031,10000,6,4.81,52,40,1997,2080
"22526",6231033,6231033,0,0,NA,0,0,1997,0
"22527",6231035,6231035,0,0,NA,0,0,1997,0
"22528",6231036,6231036,0,0,NA,0,0,1997,0
"22529",6231037,6231037,0,0,NA,0,0,1997,0
"22530",6231040,6231040,0,0,NA,0,0,1997,0
"22531",6231041,6231041,0,0,NA,0,0,1997,0
"22532",6231042,6231042,0,0,NA,0,0,1997,0
"22533",6231043,6231043,0,0,NA,0,0,1997,0
"22534",6231044,6231044,0,0,NA,0,0,1997,0
"22535",6231172,6231172,13000,6,6.25,52,40,1997,2080
"22536",6231177,6231177,0,0,NA,0,0,1997,0
"22537",6231178,6231178,0,0,NA,0,0,1997,0
"22538",6231179,6231179,0,0,NA,0,0,1997,0
"22539",6231180,6231180,NA,9,NA,52,40,1997,2080
"22540",6231182,6231182,0,0,NA,0,0,1997,0
"22541",6231183,6231183,17000,6,5.94,52,55,1997,2860
"22542",6232007,6232007,NA,9,NA,10,35,1997,350
"22543",6232008,6232008,25000,6,12.02,52,40,1997,2080
"22544",6232030,6232030,NA,9,NA,52,40,1997,2080
"22545",6232032,6232032,0,0,NA,0,0,1997,0
"22546",6232034,6232034,0,0,NA,0,0,1997,0
"22547",6232037,6232037,0,0,NA,0,0,1997,0
"22548",6232039,6232039,0,0,NA,0,0,1997,0
"22549",6232041,6232041,0,0,NA,0,0,1997,0
"22550",6232042,6232042,0,0,NA,0,0,1997,0
"22551",6232043,6232043,0,0,NA,0,0,1997,0
"22552",6232044,6232044,0,0,NA,0,0,1997,0
"22553",6232045,6232045,0,0,NA,0,0,1997,0
"22554",6232046,6232046,0,0,NA,0,0,1997,0
"22555",6232047,6232047,0,0,NA,0,0,1997,0
"22556",6232048,6232048,0,0,NA,0,0,1997,0
"22557",6232049,6232049,0,0,NA,0,0,1997,0
"22558",6232189,6232189,NA,9,NA,5,40,1997,200
"22559",6232190,6232190,0,0,NA,0,0,1997,0
"22560",6232191,6232191,0,0,NA,0,0,1997,0
"22561",6232192,6232192,0,0,NA,0,0,1997,0
"22562",6232193,6232193,0,0,NA,0,0,1997,0
"22563",6232194,6232194,0,0,NA,0,0,1997,0
"22564",6232195,6232195,0,0,NA,0,0,1997,0
"22565",6233002,6233002,0,0,NA,0,0,1997,0
"22566",6233003,6233003,NA,9,NA,52,40,1997,2080
"22567",6233004,6233004,0,0,NA,0,0,1997,0
"22568",6233005,6233005,NA,9,NA,52,40,1997,2080
"22569",6233006,6233006,0,0,NA,0,0,1997,0
"22570",6233009,6233009,20000,6,9.62,52,40,1997,2080
"22571",6233030,6233030,48000,6,18.46,52,50,1997,2600
"22572",6233031,6233031,NA,9,NA,52,40,1997,2080
"22573",6233032,6233032,3000,6,3.57,12,70,1997,840
"22574",6233033,6233033,0,0,NA,0,0,1997,0
"22575",6233034,6233034,0,0,NA,0,0,1997,0
"22576",6233035,6233035,0,0,NA,0,0,1997,0
"22577",6233036,6233036,0,0,NA,0,0,1997,0
"22578",6233037,6233037,0,0,NA,0,0,1997,0
"22579",6233038,6233038,0,0,NA,0,0,1997,0
"22580",6233039,6233039,0,0,NA,0,0,1997,0
"22581",6233040,6233040,0,0,NA,0,0,1997,0
"22582",6233041,6233041,0,0,NA,0,0,1997,0
"22583",6233042,6233042,0,0,NA,0,0,1997,0
"22584",6233043,6233043,0,0,NA,0,0,1997,0
"22585",6233044,6233044,0,0,NA,0,0,1997,0
"22586",6233171,6233171,NA,9,NA,52,40,1997,2080
"22587",6233177,6233177,0,0,NA,0,0,1997,0
"22588",6233178,6233178,0,0,NA,0,0,1997,0
"22589",6233179,6233179,0,0,NA,0,0,1997,0
"22590",6233180,6233180,0,0,NA,0,0,1997,0
"22591",6233181,6233181,0,0,NA,0,0,1997,0
"22592",6233182,6233182,0,0,NA,0,0,1997,0
"22593",6243003,6243003,0,0,NA,0,0,1997,0
"22594",6243004,6243004,37000,6,18.5,50,40,1997,2000
"22595",6243030,6243030,1000,6,NA,10,NA,1997,NA
"22596",6243170,6243170,29000,6,15.9,48,38,1997,1824
"22597",6245001,6245001,0,0,NA,0,0,1997,0
"22598",6245171,6245171,NA,9,NA,52,40,1997,2080
"22599",6245174,6245174,0,0,NA,0,0,1997,0
"22600",6245175,6245175,0,0,NA,0,0,1997,0
"22601",6245176,6245176,0,0,NA,0,0,1997,0
"22602",6250001,6250001,18000,6,9.18,49,40,1997,1960
"22603",6250002,6250002,16000,6,8.51,47,40,1997,1880
"22604",6250007,6250007,8640,6,5.19,52,32,1997,1664
"22605",6250032,6250032,0,0,NA,0,0,1997,0
"22606",6250034,6250034,0,0,NA,0,0,1997,0
"22607",6250035,6250035,0,0,NA,0,0,1997,0
"22608",6250174,6250174,0,0,NA,0,0,1997,0
"22609",6258001,6258001,0,0,NA,0,0,1997,0
"22610",6261002,6261002,4200,6,3.18,33,40,1997,1320
"22611",6261004,6261004,0,0,NA,0,0,1997,0
"22612",6261005,6261005,22000,6,7.05,52,60,1997,3120
"22613",6261006,6261006,0,0,NA,0,0,1997,0
"22614",6261007,6261007,0,0,NA,0,0,1997,0
"22615",6261176,6261176,0,0,NA,0,0,1997,0
"22616",6261184,6261184,0,0,NA,0,0,1997,0
"22617",6261185,6261185,0,0,NA,0,0,1997,0
"22618",6261186,6261186,0,0,NA,0,0,1997,0
"22619",6261187,6261187,0,0,NA,0,0,1997,0
"22620",6261188,6261188,0,0,NA,0,0,1997,0
"22621",6262001,6262001,17000,6,8.17,52,40,1997,2080
"22622",6262002,6262002,17000,6,8.17,52,40,1997,2080
"22623",6262004,6262004,50000,6,24.04,52,40,1997,2080
"22624",6262006,6262006,36000,6,17.31,52,40,1997,2080
"22625",6262007,6262007,0,0,NA,0,0,1997,0
"22626",6262009,6262009,50000,6,21.37,52,45,1997,2340
"22627",6262030,6262030,27000,6,10.38,52,50,1997,2600
"22628",6262032,6262032,0,0,NA,0,0,1997,0
"22629",6262033,6262033,0,0,NA,0,0,1997,0
"22630",6262034,6262034,0,0,NA,0,0,1997,0
"22631",6262035,6262035,0,0,NA,0,0,1997,0
"22632",6262036,6262036,0,0,NA,0,0,1997,0
"22633",6262039,6262039,0,0,NA,0,0,1997,0
"22634",6262040,6262040,0,0,NA,0,0,1997,0
"22635",6262172,6262172,31000,6,14.9,52,40,1997,2080
"22636",6262179,6262179,47000,6,15.32,52,59,1997,3068
"22637",6262180,6262180,16000,6,6.84,52,45,1997,2340
"22638",6262181,6262181,0,0,NA,0,0,1997,0
"22639",6262183,6262183,30000,6,14.42,52,40,1997,2080
"22640",6262185,6262185,0,0,NA,0,0,1997,0
"22641",6262186,6262186,0,0,NA,0,0,1997,0
"22642",6262187,6262187,0,0,NA,0,0,1997,0
"22643",6262188,6262188,0,0,NA,0,0,1997,0
"22644",6262189,6262189,0,0,NA,0,0,1997,0
"22645",6267001,6267001,0,0,NA,0,0,1997,0
"22646",6267002,6267002,4000,6,2.04,49,40,1997,1960
"22647",6267021,6267021,0,0,NA,0,0,1997,0
"22648",6272001,6272001,0,0,NA,0,0,1997,0
"22649",6272006,6272006,NA,9,NA,52,40,1997,2080
"22650",6272030,6272030,0,0,NA,0,0,1997,0
"22651",6272174,6272174,0,0,NA,0,0,1997,0
"22652",6272177,6272177,0,0,NA,0,0,1997,0
"22653",6275003,6275003,40000,6,20.83,48,40,1997,1920
"22654",6275007,6275007,0,0,NA,0,0,1997,0
"22655",6275030,6275030,0,0,NA,0,0,1997,0
"22656",6275031,6275031,0,0,NA,0,0,1997,0
"22657",6275032,6275032,0,0,NA,0,0,1997,0
"22658",6275033,6275033,0,0,NA,0,0,1997,0
"22659",6275034,6275034,0,0,NA,0,0,1997,0
"22660",6275035,6275035,0,0,NA,0,0,1997,0
"22661",6275173,6275173,30000,6,15.63,48,40,1997,1920
"22662",6281039,6281039,0,0,NA,0,0,1997,0
"22663",6281179,6281179,20000,6,9.62,52,40,1997,2080
"22664",6281198,6281198,26000,6,12.5,52,40,1997,2080
"22665",6287006,6287006,NA,9,NA,52,40,1997,2080
"22666",6287032,6287032,10000,6,5.49,52,35,1997,1820
"22667",6287033,6287033,NA,9,NA,28,40,1997,1120
"22668",6287037,6287037,0,0,NA,0,0,1997,0
"22669",6287039,6287039,0,0,NA,0,0,1997,0
"22670",6287040,6287040,0,0,NA,0,0,1997,0
"22671",6287041,6287041,0,0,NA,0,0,1997,0
"22672",6287042,6287042,0,0,NA,0,0,1997,0
"22673",6287043,6287043,0,0,NA,0,0,1997,0
"22674",6287044,6287044,0,0,NA,0,0,1997,0
"22675",6287045,6287045,0,0,NA,0,0,1997,0
"22676",6287046,6287046,0,0,NA,0,0,1997,0
"22677",6287047,6287047,0,0,NA,0,0,1997,0
"22678",6287048,6287048,0,0,NA,0,0,1997,0
"22679",6287049,6287049,0,0,NA,0,0,1997,0
"22680",6287170,6287170,20000,6,9.62,52,40,1997,2080
"22681",6287178,6287178,9000,6,4.33,52,40,1997,2080
"22682",6287179,6287179,0,0,NA,0,0,1997,0
"22683",6287180,6287180,0,0,NA,0,0,1997,0
"22684",6288001,6288001,10000,6,6.79,46,32,1997,1472
"22685",6288030,6288030,34000,6,16.67,51,40,1997,2040
"22686",6288170,6288170,0,0,NA,0,0,1997,0
"22687",6288171,6288171,0,0,NA,0,0,1997,0
"22688",6288172,6288172,0,0,NA,0,0,1997,0
"22689",6294001,6294001,0,0,NA,0,0,1997,0
"22690",6305001,6305001,0,0,NA,0,0,1997,0
"22691",6305002,6305002,8000,6,5.92,52,26,1997,1352
"22692",6305005,6305005,0,0,NA,0,0,1997,0
"22693",6305006,6305006,0,0,NA,0,0,1997,0
"22694",6305007,6305007,6000,6,3,50,40,1997,2000
"22695",6305008,6305008,0,0,NA,0,0,1997,0
"22696",6305034,6305034,0,0,NA,0,0,1997,0
"22697",6305035,6305035,0,0,NA,0,0,1997,0
"22698",6316002,6316002,20000,6,9.62,52,40,1997,2080
"22699",6316004,6316004,NA,9,NA,52,40,1997,2080
"22700",6316005,6316005,40000,6,16,50,50,1997,2500
"22701",6316006,6316006,23000,6,11.5,50,40,1997,2000
"22702",6316030,6316030,0,0,NA,0,0,1997,0
"22703",6316031,6316031,0,0,NA,0,0,1997,0
"22704",6316032,6316032,0,0,NA,0,0,1997,0
"22705",6316033,6316033,0,0,NA,0,0,1997,0
"22706",6316172,6316172,0,0,NA,0,0,1997,0
"22707",6316173,6316173,NA,9,NA,52,50,1997,2600
"22708",6316174,6316174,0,0,NA,0,0,1997,0
"22709",6316175,6316175,0,0,NA,0,0,1997,0
"22710",6316176,6316176,15000,6,7.5,50,40,1997,2000
"22711",6327004,6327004,NA,9,NA,52,20,1997,1040
"22712",6327030,6327030,0,0,NA,0,0,1997,0
"22713",6327170,6327170,NA,9,NA,52,84,1997,4368
"22714",6327171,6327171,0,0,NA,0,0,1997,0
"22715",6327172,6327172,0,0,NA,0,0,1997,0
"22716",6327173,6327173,0,0,NA,0,0,1997,0
"22717",6327174,6327174,0,0,NA,0,0,1997,0
"22718",6335002,6335002,2500,6,4.01,52,12,1997,624
"22719",6335004,6335004,0,0,NA,0,0,1997,0
"22720",6335005,6335005,18000,6,9.38,48,40,1997,1920
"22721",6335006,6335006,9000,6,9.47,38,25,1997,950
"22722",6335008,6335008,13000,6,7.22,45,40,1997,1800
"22723",6335009,6335009,0,0,NA,0,0,1997,0
"22724",6335010,6335010,600,6,1.88,8,40,1997,320
"22725",6335011,6335011,30000,6,NA,NA,34,1997,NA
"22726",6335012,6335012,0,0,NA,0,0,1997,0
"22727",6335031,6335031,0,0,NA,0,0,1997,0
"22728",6335032,6335032,0,0,NA,0,0,1997,0
"22729",6335033,6335033,0,0,NA,0,0,1997,0
"22730",6335034,6335034,0,0,NA,0,0,1997,0
"22731",6335035,6335035,0,0,NA,0,0,1997,0
"22732",6335036,6335036,0,0,NA,0,0,1997,0
"22733",6335037,6335037,0,0,NA,0,0,1997,0
"22734",6335038,6335038,0,0,NA,0,0,1997,0
"22735",6335039,6335039,0,0,NA,0,0,1997,0
"22736",6335040,6335040,0,0,NA,0,0,1997,0
"22737",6335174,6335174,22000,6,10.58,52,40,1997,2080
"22738",6342002,6342002,0,0,NA,0,0,1997,0
"22739",6342004,6342004,0,0,NA,0,0,1997,0
"22740",6342170,6342170,0,0,NA,0,0,1997,0
"22741",6350003,6350003,48000,6,23.08,52,40,1997,2080
"22742",6350006,6350006,40000,6,15.38,52,50,1997,2600
"22743",6350007,6350007,18000,6,8.65,52,40,1997,2080
"22744",6350031,6350031,0,0,NA,0,0,1997,0
"22745",6350032,6350032,0,0,NA,0,0,1997,0
"22746",6350033,6350033,0,0,NA,0,0,1997,0
"22747",6350034,6350034,0,0,NA,0,0,1997,0
"22748",6350035,6350035,0,0,NA,0,0,1997,0
"22749",6350170,6350170,65000,6,31.25,52,40,1997,2080
"22750",6350171,6350171,12000,6,15,40,20,1997,800
"22751",6350173,6350173,0,0,NA,0,0,1997,0
"22752",6350174,6350174,NA,9,NA,52,40,1997,2080
"22753",6357002,6357002,0,0,NA,0,0,1997,0
"22754",6357003,6357003,0,0,NA,0,0,1997,0
"22755",6357030,6357030,0,0,NA,0,0,1997,0
"22756",6357031,6357031,0,0,NA,0,0,1997,0
"22757",6357032,6357032,0,0,NA,0,0,1997,0
"22758",6357033,6357033,0,0,NA,0,0,1997,0
"22759",6357034,6357034,0,0,NA,0,0,1997,0
"22760",6357035,6357035,0,0,NA,0,0,1997,0
"22761",6357036,6357036,0,0,NA,0,0,1997,0
"22762",6357037,6357037,0,0,NA,0,0,1997,0
"22763",6357171,6357171,0,0,NA,0,0,1997,0
"22764",6357182,6357182,0,0,NA,0,0,1997,0
"22765",6357183,6357183,0,0,NA,0,0,1997,0
"22766",6357184,6357184,0,0,NA,0,0,1997,0
"22767",6358003,6358003,0,0,NA,0,0,1997,0
"22768",6358004,6358004,40000,6,12.82,52,60,1997,3120
"22769",6358006,6358006,29000,6,14.5,50,40,1997,2000
"22770",6358032,6358032,25000,6,12.02,52,40,1997,2080
"22771",6358033,6358033,0,0,NA,0,0,1997,0
"22772",6358034,6358034,0,0,NA,0,0,1997,0
"22773",6358035,6358035,0,0,NA,0,0,1997,0
"22774",6358037,6358037,0,0,NA,0,0,1997,0
"22775",6358038,6358038,0,0,NA,0,0,1997,0
"22776",6358041,6358041,0,0,NA,0,0,1997,0
"22777",6358043,6358043,0,0,NA,0,0,1997,0
"22778",6358170,6358170,0,0,NA,0,0,1997,0
"22779",6358171,6358171,62000,6,26.36,49,48,1997,2352
"22780",6358176,6358176,40000,6,33.33,40,30,1997,1200
"22781",6361001,6361001,0,0,NA,0,0,1997,0
"22782",6361002,6361002,32500,6,15.63,52,40,1997,2080
"22783",6361003,6361003,19000,6,18.27,52,20,1997,1040
"22784",6361004,6361004,130000,6,42.48,51,60,1997,3060
"22785",6361005,6361005,40000,6,17.43,51,45,1997,2295
"22786",6361006,6361006,25000,6,28.28,52,17,1997,884
"22787",6361030,6361030,0,0,NA,0,0,1997,0
"22788",6361032,6361032,0,0,NA,0,0,1997,0
"22789",6361033,6361033,0,0,NA,0,0,1997,0
"22790",6361034,6361034,0,0,NA,0,0,1997,0
"22791",6361172,6361172,20000,6,9.62,52,40,1997,2080
"22792",6361173,6361173,36000,6,17.31,52,40,1997,2080
"22793",6361174,6361174,0,0,NA,0,0,1997,0
"22794",6361175,6361175,0,0,NA,0,0,1997,0
"22795",6361176,6361176,0,0,NA,0,0,1997,0
"22796",6361177,6361177,0,0,NA,0,0,1997,0
"22797",6365001,6365001,0,0,NA,0,0,1997,0
"22798",6365002,6365002,0,0,NA,0,0,1997,0
"22799",6365005,6365005,16000,6,5.93,45,60,1997,2700
"22800",6365006,6365006,0,0,NA,0,0,1997,0
"22801",6365007,6365007,0,0,NA,0,0,1997,0
"22802",6365008,6365008,NA,9,NA,52,45,1997,2340
"22803",6365009,6365009,7500,6,4.12,52,35,1997,1820
"22804",6365010,6365010,6104,6,3.91,52,30,1997,1560
"22805",6365011,6365011,2100,6,3,20,35,1997,700
"22806",6365030,6365030,0,0,NA,0,0,1997,0
"22807",6365034,6365034,NA,9,NA,52,35,1997,1820
"22808",6365035,6365035,0,0,NA,0,0,1997,0
"22809",6365042,6365042,0,0,NA,0,0,1997,0
"22810",6365043,6365043,0,0,NA,0,0,1997,0
"22811",6365044,6365044,0,0,NA,0,0,1997,0
"22812",6365045,6365045,0,0,NA,0,0,1997,0
"22813",6365046,6365046,0,0,NA,0,0,1997,0
"22814",6365048,6365048,0,0,NA,0,0,1997,0
"22815",6365049,6365049,0,0,NA,0,0,1997,0
"22816",6365050,6365050,0,0,NA,0,0,1997,0
"22817",6365051,6365051,0,0,NA,0,0,1997,0
"22818",6365052,6365052,0,0,NA,0,0,1997,0
"22819",6365053,6365053,0,0,NA,0,0,1997,0
"22820",6365054,6365054,0,0,NA,0,0,1997,0
"22821",6365055,6365055,0,0,NA,0,0,1997,0
"22822",6365056,6365056,0,0,NA,0,0,1997,0
"22823",6365057,6365057,0,0,NA,0,0,1997,0
"22824",6365058,6365058,0,0,NA,0,0,1997,0
"22825",6365059,6365059,0,0,NA,0,0,1997,0
"22826",6365060,6365060,0,0,NA,0,0,1997,0
"22827",6365061,6365061,0,0,NA,0,0,1997,0
"22828",6365062,6365062,0,0,NA,0,0,1997,0
"22829",6365177,6365177,20000,6,10.42,48,40,1997,1920
"22830",6365178,6365178,0,0,NA,0,0,1997,0
"22831",6365185,6365185,10000,6,6.41,52,30,1997,1560
"22832",6365186,6365186,NA,9,NA,52,NA,1997,NA
"22833",6365187,6365187,0,0,NA,0,0,1997,0
"22834",6365188,6365188,NA,9,NA,52,40,1997,2080
"22835",6365189,6365189,NA,9,NA,NA,NA,1997,NA
"22836",6365190,6365190,NA,9,NA,52,NA,1997,NA
"22837",6366002,6366002,24000,6,11.54,52,40,1997,2080
"22838",6366004,6366004,0,0,NA,0,0,1997,0
"22839",6366031,6366031,0,0,NA,0,0,1997,0
"22840",6366032,6366032,0,0,NA,0,0,1997,0
"22841",6367001,6367001,15000,6,8.24,52,35,1997,1820
"22842",6367003,6367003,40000,6,20,40,50,1997,2000
"22843",6367005,6367005,0,0,NA,0,0,1997,0
"22844",6367031,6367031,15000,6,9.38,40,40,1997,1600
"22845",6367032,6367032,0,0,NA,0,0,1997,0
"22846",6367036,6367036,0,0,NA,0,0,1997,0
"22847",6367037,6367037,0,0,NA,0,0,1997,0
"22848",6367038,6367038,0,0,NA,0,0,1997,0
"22849",6367178,6367178,0,0,NA,0,0,1997,0
"22850",6367182,6367182,40000,6,7.69,52,100,1997,5200
"22851",6367183,6367183,20000,6,19.23,52,20,1997,1040
"22852",6367184,6367184,0,0,NA,0,0,1997,0
"22853",6368001,6368001,0,0,NA,0,0,1997,0
"22854",6368002,6368002,0,0,NA,0,0,1997,0
"22855",6368004,6368004,0,0,NA,0,0,1997,0
"22856",6368005,6368005,12000,6,4.62,52,50,1997,2600
"22857",6368006,6368006,0,0,NA,0,0,1997,0
"22858",6368007,6368007,0,0,NA,0,0,1997,0
"22859",6368008,6368008,0,0,NA,0,0,1997,0
"22860",6368031,6368031,NA,9,NA,NA,NA,1997,NA
"22861",6368033,6368033,0,0,NA,0,0,1997,0
"22862",6368034,6368034,0,0,NA,0,0,1997,0
"22863",6368035,6368035,0,0,NA,0,0,1997,0
"22864",6368036,6368036,0,0,NA,0,0,1997,0
"22865",6368170,6368170,42000,6,14.69,52,55,1997,2860
"22866",6368171,6368171,0,0,NA,0,0,1997,0
"22867",6368173,6368173,0,0,NA,0,0,1997,0
"22868",6368175,6368175,0,0,NA,0,0,1997,0
"22869",6368178,6368178,NA,9,NA,52,35,1997,1820
"22870",6368180,6368180,0,0,NA,0,0,1997,0
"22871",6368184,6368184,0,0,NA,0,0,1997,0
"22872",6370001,6370001,0,0,NA,0,0,1997,0
"22873",6370002,6370002,NA,9,NA,35,15,1997,525
"22874",6370003,6370003,5000,6,13.89,20,18,1997,360
"22875",6370004,6370004,0,0,NA,0,0,1997,0
"22876",6370005,6370005,0,0,NA,0,0,1997,0
"22877",6370006,6370006,18600,6,8.94,52,40,1997,2080
"22878",6370007,6370007,0,0,NA,0,0,1997,0
"22879",6370008,6370008,0,0,NA,0,0,1997,0
"22880",6370009,6370009,4000,6,3.91,32,32,1997,1024
"22881",6370010,6370010,0,0,NA,0,0,1997,0
"22882",6370030,6370030,0,0,NA,0,0,1997,0
"22883",6370031,6370031,3000,6,3.91,16,48,1997,768
"22884",6370032,6370032,13000,6,8.67,50,30,1997,1500
"22885",6370033,6370033,12000,6,7.69,52,30,1997,1560
"22886",6370034,6370034,NA,9,NA,40,40,1997,1600
"22887",6370035,6370035,0,0,NA,0,0,1997,0
"22888",6370036,6370036,0,0,NA,0,0,1997,0
"22889",6370037,6370037,0,0,NA,0,0,1997,0
"22890",6370038,6370038,0,0,NA,0,0,1997,0
"22891",6370039,6370039,0,0,NA,0,0,1997,0
"22892",6370040,6370040,0,0,NA,0,0,1997,0
"22893",6370041,6370041,0,0,NA,0,0,1997,0
"22894",6370042,6370042,0,0,NA,0,0,1997,0
"22895",6370043,6370043,0,0,NA,0,0,1997,0
"22896",6370044,6370044,0,0,NA,0,0,1997,0
"22897",6370045,6370045,0,0,NA,0,0,1997,0
"22898",6370046,6370046,0,0,NA,0,0,1997,0
"22899",6370172,6370172,0,0,NA,0,0,1997,0
"22900",6370181,6370181,10000,6,7.69,52,25,1997,1300
"22901",6370182,6370182,0,0,NA,0,0,1997,0
"22902",6370186,6370186,0,0,NA,0,0,1997,0
"22903",6370187,6370187,36000,6,15.38,52,45,1997,2340
"22904",6370188,6370188,0,0,NA,0,0,1997,0
"22905",6370189,6370189,0,0,NA,0,0,1997,0
"22906",6370190,6370190,0,0,NA,0,0,1997,0
"22907",6370191,6370191,0,0,NA,0,0,1997,0
"22908",6375002,6375002,30000,6,15.63,48,40,1997,1920
"22909",6375030,6375030,8000,6,8.33,32,30,1997,960
"22910",6375031,6375031,0,0,NA,0,0,1997,0
"22911",6375032,6375032,0,0,NA,0,0,1997,0
"22912",6375033,6375033,0,0,NA,0,0,1997,0
"22913",6375034,6375034,0,0,NA,0,0,1997,0
"22914",6375035,6375035,0,0,NA,0,0,1997,0
"22915",6375036,6375036,0,0,NA,0,0,1997,0
"22916",6375170,6375170,40000,6,16,50,50,1997,2500
"22917",6375171,6375171,0,0,NA,0,0,1997,0
"22918",6375172,6375172,0,0,NA,0,0,1997,0
"22919",6375173,6375173,0,0,NA,0,0,1997,0
"22920",6375174,6375174,0,0,NA,0,0,1997,0
"22921",6376001,6376001,0,0,NA,0,0,1997,0
"22922",6376003,6376003,6000,6,5.95,36,28,1997,1008
"22923",6376004,6376004,NA,9,NA,NA,40,1997,NA
"22924",6376005,6376005,16000,6,9.52,42,40,1997,1680
"22925",6376031,6376031,NA,9,NA,50,40,1997,2000
"22926",6376032,6376032,0,0,NA,0,0,1997,0
"22927",6376033,6376033,0,0,NA,0,0,1997,0
"22928",6376034,6376034,0,0,NA,0,0,1997,0
"22929",6376035,6376035,0,0,NA,0,0,1997,0
"22930",6376036,6376036,0,0,NA,0,0,1997,0
"22931",6376170,6376170,23000,6,11.5,50,40,1997,2000
"22932",6376172,6376172,900,6,0.58,44,35,1997,1540
"22933",6376174,6376174,0,0,NA,0,0,1997,0
"22934",6376175,6376175,0,0,NA,0,0,1997,0
"22935",6376176,6376176,0,0,NA,0,0,1997,0
"22936",6377002,6377002,50000,6,26.04,48,40,1997,1920
"22937",6377005,6377005,5000,6,7.81,16,40,1997,640
"22938",6377032,6377032,0,0,NA,0,0,1997,0
"22939",6377033,6377033,0,0,NA,0,0,1997,0
"22940",6377035,6377035,0,0,NA,0,0,1997,0
"22941",6377036,6377036,0,0,NA,0,0,1997,0
"22942",6377037,6377037,0,0,NA,0,0,1997,0
"22943",6377170,6377170,13000,6,10.4,50,25,1997,1250
"22944",6377173,6377173,0,0,NA,0,0,1997,0
"22945",6381001,6381001,0,0,NA,0,0,1997,0
"22946",6381002,6381002,0,0,NA,0,0,1997,0
"22947",6381003,6381003,0,0,NA,0,0,1997,0
"22948",6381004,6381004,15000,6,6.41,52,45,1997,2340
"22949",6381006,6381006,0,0,NA,0,0,1997,0
"22950",6381007,6381007,25000,6,13.02,48,40,1997,1920
"22951",6381008,6381008,0,0,NA,0,0,1997,0
"22952",6381031,6381031,0,0,NA,0,0,1997,0
"22953",6381032,6381032,0,0,NA,0,0,1997,0
"22954",6381034,6381034,0,0,NA,0,0,1997,0
"22955",6381035,6381035,0,0,NA,0,0,1997,0
"22956",6381037,6381037,0,0,NA,0,0,1997,0
"22957",6381038,6381038,0,0,NA,0,0,1997,0
"22958",6381039,6381039,0,0,NA,0,0,1997,0
"22959",6381040,6381040,0,0,NA,0,0,1997,0
"22960",6381041,6381041,0,0,NA,0,0,1997,0
"22961",6381042,6381042,0,0,NA,0,0,1997,0
"22962",6381176,6381176,NA,9,NA,52,40,1997,2080
"22963",6381177,6381177,0,0,NA,0,0,1997,0
"22964",6381178,6381178,0,0,NA,0,0,1997,0
"22965",6381180,6381180,15000,6,7.35,51,40,1997,2040
"22966",6381181,6381181,25000,6,NA,NA,45,1997,NA
"22967",6381182,6381182,26000,6,13,50,40,1997,2000
"22968",6381183,6381183,16000,6,13.33,40,30,1997,1200
"22969",6381184,6381184,15000,6,7.21,52,40,1997,2080
"22970",6381185,6381185,0,0,NA,0,0,1997,0
"22971",6381186,6381186,0,0,NA,0,0,1997,0
"22972",6381187,6381187,0,0,NA,0,0,1997,0
"22973",6381188,6381188,0,0,NA,0,0,1997,0
"22974",6381189,6381189,0,0,NA,0,0,1997,0
"22975",6381190,6381190,0,0,NA,0,0,1997,0
"22976",6381191,6381191,0,0,NA,0,0,1997,0
"22977",6381192,6381192,0,0,NA,0,0,1997,0
"22978",6381193,6381193,0,0,NA,0,0,1997,0
"22979",6381194,6381194,0,0,NA,0,0,1997,0
"22980",6396002,6396002,0,0,NA,0,0,1997,0
"22981",6396003,6396003,0,0,NA,0,0,1997,0
"22982",6396030,6396030,0,0,NA,0,0,1997,0
"22983",6396031,6396031,0,0,NA,0,0,1997,0
"22984",6396173,6396173,0,0,NA,0,0,1997,0
"22985",6396174,6396174,0,0,NA,0,0,1997,0
"22986",6396176,6396176,0,0,NA,0,0,1997,0
"22987",6398002,6398002,14000,6,8.1,48,36,1997,1728
"22988",6398030,6398030,0,0,NA,0,0,1997,0
"22989",6398031,6398031,0,0,NA,0,0,1997,0
"22990",6398173,6398173,23000,6,14.38,40,40,1997,1600
"22991",6406002,6406002,0,0,NA,0,0,1997,0
"22992",6406004,6406004,82000,6,28.67,52,55,1997,2860
"22993",6406031,6406031,0,0,NA,0,0,1997,0
"22994",6406033,6406033,0,0,NA,0,0,1997,0
"22995",6406034,6406034,0,0,NA,0,0,1997,0
"22996",6406035,6406035,0,0,NA,0,0,1997,0
"22997",6406036,6406036,0,0,NA,0,0,1997,0
"22998",6406037,6406037,0,0,NA,0,0,1997,0
"22999",6406038,6406038,0,0,NA,0,0,1997,0
"23000",6406184,6406184,24000,6,11.54,52,40,1997,2080
"23001",6406185,6406185,0,0,NA,0,0,1997,0
"23002",6406186,6406186,0,0,NA,0,0,1997,0
"23003",6406187,6406187,0,0,NA,0,0,1997,0
