"","MID","FID","earn","earnu","wage","ww","hw","year","hrs"
"404",53173,53173,25000,6,12.02,52,40,1997,2080
"405",53181,53181,0,0,NA,0,0,1997,0
"406",53187,53187,25000,6,8.01,52,60,1997,3120
"407",53189,53189,0,0,NA,0,0,1997,0
"408",53190,53190,0,0,NA,0,0,1997,0
"409",53191,53191,13000,6,8.13,40,40,1997,1600
"410",53192,53192,0,0,NA,0,0,1997,0
"411",53194,53194,5000,6,10.42,12,40,1997,480
"412",53196,53196,0,0,NA,0,0,1997,0
"413",53198,53198,0,0,NA,0,0,1997,0
"414",53199,53199,0,0,NA,0,0,1997,0
"415",53200,53200,0,0,NA,0,0,1997,0
"416",53201,53201,NA,6,NA,51,60,1997,3060
"417",53202,53202,NA,9,NA,52,40,1997,2080
"418",53203,53203,0,0,NA,0,0,1997,0
"419",53204,53204,0,0,NA,0,0,1997,0
"420",53205,53205,0,0,NA,0,0,1997,0
"421",53206,53206,NA,9,NA,48,40,1997,1920
"422",53207,53207,0,0,NA,0,0,1997,0
"423",53208,53208,0,0,NA,0,0,1997,0
"424",53209,53209,0,0,NA,0,0,1997,0
"425",53210,53210,0,0,NA,0,0,1997,0
"426",53211,53211,0,0,NA,0,0,1997,0
"427",53212,53212,0,0,NA,0,0,1997,0
"428",53213,53213,0,0,NA,0,0,1997,0
"429",53214,53214,0,0,NA,0,0,1997,0
"430",53215,53215,0,0,NA,0,0,1997,0
"431",53216,53216,0,0,NA,0,0,1997,0
"432",53217,53217,0,0,NA,0,0,1997,0
"433",53218,53218,0,0,NA,0,0,1997,0
"434",56002,56002,0,0,NA,0,0,1997,0
"435",57001,57001,0,0,NA,0,0,1997,0
"436",57002,57002,0,0,NA,0,0,1997,0
"437",57003,57003,0,0,NA,0,0,1997,0
"438",57005,57005,0,0,NA,0,0,1997,0
"439",57030,57030,0,0,NA,0,0,1997,0
"440",57032,57032,0,0,NA,0,0,1997,0
"441",57033,57033,0,0,NA,0,0,1997,0
"442",57178,57178,0,0,NA,0,0,1997,0
"443",60002,60002,17000,6,8.67,49,40,1997,1960
"444",60022,60022,50000,6,18.18,50,55,1997,2750
"445",60030,60030,NA,9,NA,20,20,1997,400
"446",60031,60031,30000,6,11.76,51,50,1997,2550
"447",60032,60032,0,0,NA,0,0,1997,0
"448",60033,60033,7000,6,7,50,20,1997,1000
"449",60034,60034,8000,6,5.33,50,30,1997,1500
"450",60035,60035,0,0,NA,0,0,1997,0
"451",60036,60036,0,0,NA,0,0,1997,0
"452",60037,60037,0,0,NA,0,0,1997,0
"453",60038,60038,0,0,NA,0,0,1997,0
"454",60039,60039,0,0,NA,0,0,1997,0
"455",60040,60040,0,0,NA,0,0,1997,0
"456",60041,60041,0,0,NA,0,0,1997,0
"457",60170,60170,33000,6,14.67,50,45,1997,2250
"458",60172,60172,101000,6,35.31,52,55,1997,2860
"459",60177,60177,10000,6,11.11,30,30,1997,900
"460",60181,60181,85000,6,42.5,50,40,1997,2000
"461",60182,60182,35000,6,17.5,50,40,1997,2000
"462",60183,60183,30000,6,13.33,50,45,1997,2250
"463",60184,60184,0,0,NA,0,0,1997,0
"464",61002,61002,0,0,NA,0,0,1997,0
"465",61003,61003,33600,6,12.92,52,50,1997,2600
"466",61004,61004,61000,6,23.46,52,50,1997,2600
"467",61005,61005,6000,6,13.64,44,10,1997,440
"468",61030,61030,500,6,2.22,15,15,1997,225
"469",61031,61031,0,0,NA,0,0,1997,0
"470",61032,61032,0,0,NA,0,0,1997,0
"471",61033,61033,0,0,NA,0,0,1997,0
"472",61034,61034,0,0,NA,0,0,1997,0
"473",61035,61035,0,0,NA,0,0,1997,0
"474",61036,61036,0,0,NA,0,0,1997,0
"475",61170,61170,36000,6,20,36,50,1997,1800
"476",61171,61171,44000,6,22.92,48,40,1997,1920
"477",61172,61172,0,0,NA,0,0,1997,0
"478",63002,63002,0,0,NA,0,0,1997,0
"479",64001,64001,0,0,NA,0,0,1997,0
"480",64002,64002,0,0,NA,0,0,1997,0
"481",65001,65001,0,0,NA,0,0,1997,0
"482",65170,65170,NA,9,NA,52,40,1997,2080
"483",66001,66001,0,0,NA,0,0,1997,0
"484",66171,66171,0,0,NA,0,0,1997,0
"485",68002,68002,24000,6,11.54,52,40,1997,2080
"486",68003,68003,33000,6,13.2,50,50,1997,2500
"487",68030,68030,0,0,NA,0,0,1997,0
"488",68031,68031,0,0,NA,0,0,1997,0
"489",68175,68175,0,0,NA,0,0,1997,0
"490",75001,75001,NA,9,NA,50,36,1997,1800
"491",75002,75002,0,0,NA,0,0,1997,0
"492",75005,75005,36000,6,19.74,48,38,1997,1824
"493",75030,75030,24000,6,12.24,49,40,1997,1960
"494",75171,75171,22000,6,11.22,49,40,1997,1960
"495",79002,79002,0,0,NA,0,0,1997,0
"496",79003,79003,NA,9,NA,NA,NA,1997,NA
"497",79030,79030,0,0,NA,0,0,1997,0
"498",79031,79031,14000,6,7,50,40,1997,2000
"499",79032,79032,0,0,NA,0,0,1997,0
"500",79171,79171,45000,6,NA,NA,NA,1997,NA
"501",79172,79172,0,0,NA,0,0,1997,0
"502",80002,80002,0,0,NA,0,0,1997,0
"503",80003,80003,34000,6,16.35,52,40,1997,2080
"504",80170,80170,0,0,NA,0,0,1997,0
"505",84001,84001,0,0,NA,0,0,1997,0
"506",84002,84002,0,0,NA,0,0,1997,0
"507",84003,84003,40000,6,19.61,51,40,1997,2040
"508",84004,84004,0,0,NA,0,0,1997,0
"509",84005,84005,35000,6,14.88,49,48,1997,2352
"510",84006,84006,11000,6,6.88,40,40,1997,1600
"511",84030,84030,12000,6,6.86,50,35,1997,1750
"512",84031,84031,0,0,NA,0,0,1997,0
"513",84032,84032,0,0,NA,0,0,1997,0
"514",84033,84033,0,0,NA,0,0,1997,0
"515",84034,84034,0,0,NA,0,0,1997,0
"516",84035,84035,0,0,NA,0,0,1997,0
"517",84036,84036,0,0,NA,0,0,1997,0
"518",84170,84170,15000,6,6.54,51,45,1997,2295
"519",84171,84171,60000,6,20.98,52,55,1997,2860
"520",84172,84172,0,0,NA,0,0,1997,0
"521",84174,84174,15000,6,7.5,50,40,1997,2000
"522",84175,84175,0,0,NA,0,0,1997,0
"523",84177,84177,3000,6,6.25,24,20,1997,480
"524",84178,84178,18000,6,6.25,48,60,1997,2880
"525",84179,84179,0,0,NA,0,0,1997,0
"526",84180,84180,0,0,NA,0,0,1997,0
"527",84181,84181,0,0,NA,0,0,1997,0
"528",84182,84182,0,0,NA,0,0,1997,0
"529",84183,84183,0,0,NA,0,0,1997,0
"530",84184,84184,0,0,NA,0,0,1997,0
"531",85001,85001,210000,6,116.67,30,60,1997,1800
"532",85030,85030,23000,6,36.8,25,25,1997,625
"533",85031,85031,0,0,NA,0,0,1997,0
"534",85032,85032,0,0,NA,0,0,1997,0
"535",85170,85170,0,0,NA,0,0,1997,0
"536",85172,85172,0,0,NA,0,0,1997,0
"537",85173,85173,0,0,NA,0,0,1997,0
"538",85174,85174,0,0,NA,0,0,1997,0
"539",87001,87001,0,0,NA,0,0,1997,0
"540",87172,87172,0,0,NA,0,0,1997,0
"541",88001,88001,10000,6,3.85,52,50,1997,2600
"542",88002,88002,10000,6,31.25,32,10,1997,320
"543",88003,88003,80000,6,32,50,50,1997,2500
"544",88004,88004,35620,6,11.64,51,60,1997,3060
"545",88005,88005,75000,6,36.06,52,40,1997,2080
