"","KID","MID"
"355",649032,649030
"356",649033,649030
"357",649034,649031
"358",650178,650172
"359",652033,652171
"360",652034,652003
"361",652035,652171
"362",652037,652173
"363",654032,654030
"364",654033,654030
"365",655030,655172
"366",655031,655172
"367",656031,656004
"368",656033,656005
"369",656034,656005
"370",656035,656004
"371",664030,664008
"372",664032,664175
"373",664034,664175
"374",664035,664008
"375",672172,672003
"376",672174,672003
"377",673032,673172
"378",673033,673030
"379",673174,673172
"380",674030,674005
"381",674031,674171
"382",677034,677172
"383",677037,677182
"384",686036,686033
"385",687171,687003
"386",691030,691171
"387",691031,691170
"388",691032,691171
"389",691033,691170
"390",691034,691172
"391",691035,691172
"392",691036,691176
"393",692033,692005
"394",692038,692007
"395",692039,692007
"396",694033,694004
"397",694034,694004
"398",698034,698007
"399",698035,698007
"400",699033,699004
"401",699034,699004
"402",699035,699174
"403",699036,699174
"404",700032,700176
"405",700034,700176
"406",702032,702030
"407",704030,704003
"408",704031,704003
"409",706030,706170
"410",706171,706170
"411",706177,706005
"412",707030,707171
"413",707032,707171
"414",709038,709007
"415",709039,709007
"416",709040,709034
"417",711030,711003
"418",711031,711003
"419",712034,712004
"420",713037,713176
"421",713039,713033
"422",713184,713183
"423",717033,717176
"424",719173,719172
"425",722034,722178
"426",722035,722032
"427",725031,725177
"428",727030,727003
"429",728032,728003
"430",728033,728030
"431",729031,729171
"432",729032,729171
"433",729040,729178
"434",729041,729177
"435",729042,729178
"436",729043,729177
"437",749033,749171
"438",749034,749171
"439",749035,749173
"440",750031,750170
"441",750032,750170
"442",750033,750173
"443",750034,750174
"444",751035,751172
"445",751037,751031
"446",751038,751031
"447",751039,751030
"448",759031,759171
"449",760030,760174
"450",760172,760171
"451",760173,760171
"452",760176,760174
"453",762031,762004
"454",762174,762173
"455",762175,762173
"456",769033,769004
"457",769035,769003
"458",769036,769173
"459",769037,769173
"460",769038,769004
"461",769039,769003
"462",771031,771030
"463",771032,771030
"464",773036,773004
"465",773037,773004
"466",774031,774002
"467",774032,774002
"468",775031,775172
"469",776030,776004
"470",777031,777173
"471",779038,779005
"472",782171,782003
"473",783031,783171
"474",783032,783003
"475",794030,794170
"476",794031,794170
"477",796032,796173
"478",796033,796004
"479",796034,796004
"480",814032,814030
"481",817032,817170
"482",818030,818004
"483",818032,818004
"484",819032,819170
"485",819033,819172
"486",819034,819172
"487",821031,821170
"488",823033,823004
"489",826032,826173
"490",833035,833178
"491",833036,833189
"492",833180,833176
"493",833181,833176
"494",834034,834174
"495",834035,834174
"496",835030,835173
"497",835031,835173
"498",838030,838003
"499",838031,838003
"500",840041,840032
"501",840042,840038
"502",840043,840032
"503",840044,840190
"504",840191,840021
"505",844032,844170
"506",844033,844170
"507",844034,844172
"508",846030,846006
"509",846040,846007
"510",846043,846007
"511",846044,846170
"512",846045,846006
"513",853030,853003
"514",856033,856003
"515",856034,856004
"516",856035,856005
"517",856036,856004
"518",856038,856005
"519",857030,857174
"520",857031,857174
"521",863032,863007
"522",863033,863007
"523",863034,863006
"524",863035,863006
"525",866032,866004
"526",866033,866004
"527",868031,868173
"528",868034,868006
"529",868036,868006
"530",868037,868181
"531",875035,875176
"532",875036,875176
