"","year","intnum","educ1","educ2","educ"
"479",1999,2915,0,0,0
"482",1999,5377,0,0,0
"483",1999,3031,0,0,0
"484",1999,3243,1000,0,1000
"485",1999,2721,200,0,200
"488",1999,3785,550,200,750
"494",1999,3850,75,0,75
"495",1999,5655,0,0,0
"496",1999,5005,3000,0,3000
"497",1999,6841,1200,2000,3200
"499",1999,404,0,0,0
"502",1999,1252,0,0,0
"503",1999,34,0,0,0
"504",1999,1186,0,0,0
"508",1999,41,0,0,0
"509",1999,1189,6800,0,6800
"513",1999,1698,0,0,0
"514",1999,2117,0,0,0
"515",1999,823,0,0,0
"516",1999,2203,0,0,0
"518",1999,1421,0,0,0
"519",1999,3961,0,0,0
"520",1999,553,0,0,0
"521",1999,913,0,0,0
"522",1999,6716,0,0,0
"523",1999,6577,0,0,0
"524",1999,914,0,0,0
"528",1999,915,31,0,31
"529",1999,378,0,0,0
"530",1999,4589,0,0,0
"537",1999,1106,0,0,0
"539",1999,4477,0,0,0
"540",1999,2212,0,0,0
"545",1999,2565,1350,0,1350
"548",1999,4935,0,0,0
"549",1999,5012,10000,0,10000
"551",1999,5096,0,0,0
"554",1999,6177,0,0,0
"557",1999,6893,0,0,0
"559",1999,277,0,0,0
"560",1999,2400,0,0,0
"563",1999,1385,0,0,0
"564",1999,663,0,0,0
"565",1999,6929,0,0,0
"566",1999,3049,0,0,0
"567",1999,3329,1100,0,1100
"570",1999,5777,0,0,0
"576",1999,3134,38000,0,38000
"577",1999,6800,0,0,0
"585",1999,1554,0,0,0
"586",1999,2570,0,0,0
"587",1999,3002,0,0,0
"589",1999,2010,0,0,0
"590",1999,2232,0,0,0
"591",1999,1040,0,0,0
"594",1999,237,0,0,0
"595",1999,318,0,0,0
"596",1999,262,0,0,0
"597",1999,3233,0,0,0
"600",1999,2683,13000,0,13000
"602",1999,3894,12000,0,12000
"607",1999,1785,0,0,0
"608",1999,1786,0,0,0
"609",1999,2083,0,0,0
"610",1999,2711,0,0,0
"614",1999,1568,0,0,0
"618",1999,2791,0,0,0
"627",1999,934,0,0,0
"628",1999,2562,0,0,0
"629",1999,2426,0,0,0
"630",1999,5055,780,1000,1780
"637",1999,772,0,0,0
"638",1999,651,1000,0,1000
"639",1999,5176,1000,0,1000
"646",1999,515,0,0,0
"647",1999,514,0,0,0
"648",1999,6365,140,0,140
"649",1999,203,0,0,0
"650",1999,6870,400,0,400
"652",1999,2925,0,0,0
"655",1999,2621,0,0,0
"660",1999,1764,186,30,216
"661",1999,5450,0,0,0
"663",1999,1925,0,0,0
"666",1999,202,0,0,0
"667",1999,868,0,0,0
"668",1999,869,0,0,0
"669",1999,3453,0,0,0
"671",1999,430,0,0,0
"672",1999,766,0,0,0
"673",1999,2564,0,0,0
"674",1999,6099,0,0,0
"676",1999,2477,0,0,0
"684",1999,4665,15000,0,15000
"685",1999,3817,0,0,0
"687",1999,6215,0,0,0
"689",1999,5603,600,0,600
"697",1999,5644,7000,0,7000
"700",1999,3528,1500,0,1500
"703",1999,3133,10000,0,10000
"704",1999,104,0,0,0
"706",1999,5530,0,0,0
"708",1999,2308,0,0,0
"709",1999,4745,0,0,0
"714",1999,2923,1800,0,1800
"715",1999,2309,0,0,0
