ER46788,hoursspouse,2009
ER46829,earnhead,2009
ER46838,earnspousebusiness,2009
ER46841,earnspouse,2009
ER47301,relnum,2011
ER47302,intnum,2011
ER52175,hourshead,2011
ER52196,hoursspouse,2011
ER52237,earnhead,2011
ER52246,earnspousebusiness,2011
ER52249,earnspouse,2011
ER53001,relnum,2013
ER53002,intnum,2013
ER57976,hourshead,2013
ER57997,hoursspouse,2013
ER58038,earnhead,2013
ER58047,earnspousebusiness,2013
ER58050,earnspouse,2013
ER60001,relnum,2015
ER60002,intnum,2015
ER65156,hourshead,2015
ER65177,hoursspouse,2015
ER65216,earnhead,2015
ER65225,earnspousebusiness,2015
ER65244,earnspouse,2015
ER66001,relnum,2017
ER66002,intnum,2017
ER71233,hourshead,2017
ER71254,hoursspouse,2017
ER71293,earnhead,2017
ER71302,earnspousebusiness,2017
ER71321,earnspouse,2017
ER72001,relnum,2019
ER72002,intnum,2019
ER77255,hourshead,2019
ER77276,hoursspouse,2019
ER77315,earnhead,2019
ER77324,earnspousebusiness,2019
ER77343,earnspouse,2019
,,
,,
,,
,,
