ER25001,ER25002,ER27711D3,ER27711E8,ER27711F1,ER27711F2,ER27711J6,ER27711L2,ER27711L4,ER27711L5,ER36001,ER36002,ER40686D3,ER40686E8,ER40686F1,ER40686F2,ER40686J6,ER40686L2,ER40686L4,ER40686L5,ER42001,ER42002,ER46670,ER46671,ER46673,ER46674,ER46681,ER46682,ER46684,ER46685
6,7237,52,40,28000,6,0,0,0,0,7,7743,48,30,28000,6,52,50,21500,6,,,,,,,,,,
6,6012,39,25,20000,6,0,0,0,0,7,1497,52,32,60000,6,0,0,0,0,,,,,,,,,,
6,6638,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,1047,26,25,15000,6,0,0,0,0,,,,,,,,,,
6,1321,52,40,40000,6,0,0,0,0,7,940,52,40,49000,6,18,3,500,6,5,3582,52,40,65000,6,0,0,0,0
6,5937,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,5647,52,40,95000,6,52,35,40000,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,7955,52,60,68000,6,22,40,14000,6,5,5016,52,50,74000,6,52,50,44000,6
,,,,,,,,,,7,448,0,0,0,0,0,0,0,0,5,4938,2,40,9999999,9,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5,3769,52,70,85000,6,52,30,70000,6
,,,,,,,,,,,,,,,,,,,,5,7651,52,50,9999999,9,52,40,30000,6
6,16,0,0,0,0,0,0,0,0,7,1138,0,0,0,0,0,0,0,0,5,1344,0,0,0,0,0,0,0,0
6,465,52,2,15000,6,0,0,0,0,7,998,52,40,7000,6,0,0,0,0,5,6422,52,1,40000,6,0,0,0,0
,,,,,,,,,,7,7587,52,60,9999999,9,0,0,0,0,5,938,52,50,9999999,9,0,0,0,0
6,7317,52,40,99999999,9,52,40,99999999,9,7,1732,52,40,10000,6,52,40,9000,6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,7648,36,80,9999999,9,52,50,9999999,9
6,1221,0,0,0,0,0,0,0,0,7,2725,0,0,0,0,0,0,0,0,5,915,0,0,0,0,0,0,0,0
6,4407,52,37,14500,6,0,0,0,0,7,2585,52,35,21000,6,0,0,0,0,5,907,52,37,19700,6,0,0,0,0
6,3548,52,40,22000,6,52,36,50000,6,7,3648,52,40,24000,6,0,0,0,0,5,7439,52,40,40000,6,0,0,0,0
6,3752,52,40,35000,6,0,0,0,0,7,2831,52,40,46000,6,0,0,0,0,5,962,52,40,41000,6,0,0,0,0
,,,,,,,,,,7,5288,52,36,55000,6,0,0,0,0,,,,,,,,,,
6,4413,52,43,85000,6,0,0,0,0,7,159,52,50,85000,6,0,0,0,0,5,1898,52,55,95000,6,0,0,0,0
6,1475,52,45,80000,6,0,0,0,0,7,5307,52,45,87000,6,0,0,0,0,5,6022,52,45,97000,6,0,0,0,0
6,7626,52,40,33000,6,52,40,25000,6,7,3198,50,40,38000,6,52,40,33000,6,5,7163,0,0,0,0,52,40,40000,6
6,276,52,998,7200,6,0,0,0,0,7,229,13,999,9999999,9,0,0,0,0,,,,,,,,,,
6,5987,0,0,0,0,0,0,0,0,7,4438,0,0,0,0,0,0,0,0,,,,,,,,,,
6,6291,0,0,0,0,52,40,47000,6,7,575,0,0,0,0,52,40,55000,6,5,1290,0,0,0,0,52,40,58000,6
6,716,52,45,50000,6,52,50,43000,6,7,3989,52,40,38000,6,52,50,44000,6,5,4884,52,40,40000,6,52,50,46000,6
6,614,52,48,99999999,9,52,20,99999999,9,7,1387,52,60,9999999,9,52,24,9999999,9,5,1951,52,72,9999999,9,52,60,9999999,9
6,1400,52,30,99999999,9,0,0,0,0,7,959,52,35,4000,6,0,0,0,0,5,4258,52,45,30000,6,0,0,0,0
6,1269,52,50,38000,6,52,20,11500,6,7,1214,52,45,44800,6,52,15,3500,6,5,2941,52,45,68000,6,52,30,15000,6
6,581,52,40,250000,6,0,0,0,0,7,1428,52,100,450000,6,0,0,0,0,5,2818,52,80,250000,6,0,0,0,0
6,2564,52,40,16000,6,0,0,0,0,7,1985,52,40,14400,6,0,0,0,0,5,3200,52,50,23000,6,0,0,0,0
6,514,52,12,4525,6,0,0,0,0,7,714,19,998,1585,6,0,0,0,0,5,388,0,0,0,0,0,0,0,0
6,6570,52,50,45000,6,52,40,28000,6,7,3552,52,60,60000,6,52,40,30000,6,5,7343,52,45,50000,6,52,40,32000,6
,,,,,,,,,,7,5236,0,0,0,0,0,0,0,0,5,6479,13,15,260,6,0,0,0,0
6,4515,52,40,60000,6,0,0,0,0,7,2217,52,40,72000,6,0,0,0,0,5,6080,52,40,80000,6,0,0,0,0
6,7097,52,40,18000,6,0,0,0,0,7,7660,27,50,17400,6,0,0,0,0,5,717,52,52,20000,6,0,0,0,0
6,6479,52,25,14000,6,0,0,0,0,7,2846,39,40,30000,6,0,0,0,0,5,7610,52,40,26000,6,0,0,0,0
6,6203,0,0,0,0,0,0,0,0,7,786,9,25,9999999,9,0,0,0,0,5,6213,0,0,0,0,0,0,0,0
6,7332,36,36,11000,6,0,0,0,0,7,802,42,36,23000,6,0,0,0,0,5,8370,32,30,9000,6,0,0,0,0
,,,,,,,,,,7,3462,39,40,10000,6,0,0,0,0,5,6236,0,0,0,0,52,40,31000,6
,,,,,,,,,,,,,,,,,,,,5,8647,52,20,10000,6,0,0,0,0
6,7826,52,40,74000,6,52,40,26000,6,7,2199,52,40,72000,6,52,40,42000,6,5,1105,52,40,72000,6,52,40,45000,6
6,7660,52,55,56000,6,52,34,28000,6,7,732,52,50,53000,6,52,35,22000,6,5,8287,52,50,48000,6,52,40,45000,6
6,6601,52,998,12000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,4536,52,30,27000,6,52,45,38000,6,7,1340,52,40,30000,6,52,45,44000,6,5,14,52,50,26000,6,52,25,30000,6
,,,,,,,,,,,,,,,,,,,,5,3738,0,0,0,0,34,40,9999999,9
6,663,0,0,0,0,0,0,0,0,7,197,0,0,0,0,0,0,0,0,,,,,,,,,,
6,1163,52,70,52000,6,52,20,17000,6,7,294,52,80,6000,6,52,25,18000,6,5,861,25,40,52000,6,52,27,25000,6
6,1597,0,0,0,0,0,0,0,0,7,722,0,0,0,0,0,0,0,0,5,1812,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5,8010,99,998,20000,6,0,0,0,0
6,5592,30,32,17000,6,52,40,24000,6,7,1426,52,40,27000,6,52,40,25000,6,5,2004,52,40,30000,6,52,40,27000,6
6,917,0,0,0,0,0,0,0,0,7,602,99,999,500,6,0,0,0,0,5,453,0,0,0,0,0,0,0,0
6,3566,52,40,32000,6,52,40,18000,6,7,460,52,40,37000,6,52,40,17000,6,5,2444,52,46,49000,6,52,40,18000,6
6,1965,52,40,18000,6,38,40,17000,6,7,212,52,40,21000,6,52,40,23000,6,5,1545,52,40,26000,6,52,45,28000,6
6,5789,52,999,99999999,9,0,0,0,0,7,220,52,36,22000,6,0,0,0,0,,,,,,,,,,
6,1578,32,35,10000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,4997,52,35,12000,6,0,0,0,0,7,488,52,40,19000,6,0,0,0,0,,,,,,,,,,
6,1114,0,0,0,0,0,0,0,0,7,308,0,0,0,0,0,0,0,0,5,337,0,0,0,0,0,0,0,0
6,7474,52,55,30000,6,52,52,18000,6,7,8300,52,52,38000,6,52,40,17000,6,,,,,,,,,,
6,1462,52,40,41000,6,52,12,420,6,7,422,52,40,41000,6,52,3,480,6,5,1072,52,40,53000,6,0,0,0,0
,,,,,,,,,,7,888,30,50,18000,6,26,40,18000,6,5,1200,0,0,0,0,52,40,21000,6
,,,,,,,,,,,,,,,,,,,,5,985,52,47,25000,6,42,40,23000,6
,,,,,,,,,,,,,,,,,,,,5,1323,19,45,6000,6,52,45,29000,6
6,4773,52,20,240,3,0,0,0,0,7,12,52,30,10000,6,0,0,0,0,5,47,49,40,27500,6,0,0,0,0
6,3398,52,40,17000,6,52,40,16000,6,7,7,52,40,20000,6,52,40,18000,6,5,44,52,40,26000,6,52,40,20000,6
6,3253,52,50,28000,6,14,40,40,3,7,751,52,45,33000,6,0,0,0,0,5,40,52,55,40000,6,32,28,800,6
6,4943,51,40,6000,6,52,40,26000,6,7,5584,52,40,33000,6,52,40,32000,6,,,,,,,,,,
,,,,,,,,,,7,163,0,0,0,0,0,0,0,0,5,32,35,40,10701,6,0,0,0,0
,,,,,,,,,,7,172,0,0,0,0,0,0,0,0,,,,,,,,,,
6,178,52,45,31000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,1251,52,35,30000,6,47,50,15000,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,38,5,998,9999999,9,27,40,11000,6
6,1312,52,11,48000,6,52,30,13400,6,7,563,52,25,7500,6,52,20,14200,6,5,287,52,10,10000,6,52,20,12000,6
6,5208,52,35,3000,5,0,0,0,0,7,6252,52,40,95000,6,52,6,4000,6,5,5369,52,35,40000,6,52,15,6000,6
,,,,,,,,,,,,,,,,,,,,5,8718,50,15,2000,6,0,0,0,0
6,2516,52,20,18000,6,52,30,18000,6,7,1528,52,1,37000,6,52,1,7255,6,5,3510,52,998,35000,6,52,28,32000,6
6,1523,52,50,30000,6,52,24,26000,6,7,3357,52,55,30678,6,52,24,26993,6,5,2260,52,50,50000,6,52,24,28000,6
6,3942,52,45,23888,6,52,20,8000,6,7,3779,52,40,26976,6,52,7,2501,6,5,3506,52,40,34900,6,0,0,0,0
6,1910,52,40,52000,6,52,8,5000,6,7,2180,52,40,58500,6,52,25,10300,6,5,5381,52,50,9999999,9,52,20,20000,6
6,5476,52,40,60000,6,52,30,23500,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,2554,52,40,15300,6,52,40,15200,6,5,2699,52,40,30000,6,52,40,30000,6
6,5078,52,20,6000,6,52,56,30000,6,7,81,52,20,6000,6,52,40,28000,6,5,1434,52,20,24000,6,52,40,30000,6
6,5103,52,41,26428,6,52,43,37954,6,7,181,52,42,25807,6,52,45,38156,6,5,1911,52,40,25000,6,52,45,34800,6
6,5049,52,70,22000,6,52,40,32500,6,7,2803,52,40,25000,6,52,40,26000,6,5,2709,52,40,28000,6,52,40,30000,6
6,4783,52,40,38000,6,0,0,0,0,7,191,52,40,45000,6,0,0,0,0,5,3359,52,40,50000,6,0,0,0,0
6,4848,52,40,15000,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,3963,52,998,45000,6,52,60,46000,6,7,514,52,50,55000,6,52,40,56000,6,5,2992,52,50,72000,6,52,40,49000,6
,,,,,,,,,,7,608,52,40,75000,6,52,40,15000,6,5,3410,52,40,50000,6,52,40,16000,6
6,380,52,40,12000,6,17,40,3500,6,7,1567,52,40,8000,6,16,40,3500,6,5,2504,49,30,9000,6,14,25,2800,6
,,,,,,,,,,,,,,,,,,,,5,8443,50,70,10000,6,26,20,6000,6
6,116,52,40,61000,6,0,0,0,0,7,1546,52,40,65000,6,0,0,0,0,5,3803,52,40,9999999,9,0,0,0,0
6,300,0,0,0,0,52,32,10000,6,7,2592,0,0,0,0,0,0,0,0,5,194,0,0,0,0,40,20,6700,6
6,4700,52,50,48000,6,52,40,22800,6,7,2628,52,60,51000,6,29,40,12000,6,5,2160,52,40,54000,6,0,0,0,0
6,1510,52,50,43000,6,52,35,25000,6,7,3602,52,50,44000,6,52,30,12000,6,,,,,,,,,,
6,5972,52,50,52000,6,52,50,15000,6,7,2621,52,72,9999999,9,52,40,9999999,9,5,6738,52,52,32000,6,45,60,3000,6
6,3069,49,40,35000,6,0,0,0,0,7,2877,52,40,32000,6,0,0,0,0,5,6205,52,40,42000,6,0,0,0,0
6,2748,52,41,38000,6,52,50,33000,6,7,6218,52,42,47000,6,52,46,34000,6,5,3923,45,40,42000,6,0,0,0,0
6,2792,30,45,13850,6,45,40,13800,6,7,3802,52,40,15000,6,0,0,0,0,5,2579,50,40,25000,6,0,0,0,0
6,4017,52,40,16579,6,0,0,0,0,7,6574,52,40,30000,6,0,0,0,0,5,8455,52,40,26000,6,0,0,0,0
6,5394,52,44,25000,6,52,40,23000,6,7,6820,45,40,20000,6,52,40,25000,6,5,2740,52,45,28000,6,52,40,25000,6
6,2076,0,0,0,0,0,0,0,0,7,6904,52,40,11000,6,13,40,10000,6,5,6109,47,40,30000,6,99,40,9999999,9
6,6212,52,70,22500,6,0,0,0,0,7,8030,46,50,25000,6,0,0,0,0,5,1599,52,45,20000,6,52,40,13000,6
,,,,,,,,,,,,,,,,,,,,5,4630,50,40,32000,6,0,0,0,0
6,1616,52,55,51000,6,52,40,20800,6,7,2433,52,40,54000,6,52,40,18000,6,5,336,52,40,40000,6,52,35,18000,6
,,,,,,,,,,7,7886,0,0,0,0,0,0,0,0,5,5020,52,998,9999999,9,0,0,0,0
,,,,,,,,,,,,,,,,,,,,5,7314,0,0,0,0,0,0,0,0
6,1392,52,50,80000,6,52,7,3500,6,7,2241,0,0,0,0,0,0,0,0,5,460,0,0,0,0,52,8,750,6
6,5667,0,0,0,0,52,20,5000,6,7,3656,0,0,0,0,52,20,5000,6,5,2193,0,0,0,0,42,20,8000,5
6,954,52,45,25000,6,45,40,23000,6,7,3677,52,45,33000,6,52,45,36000,6,5,2081,52,60,40000,6,52,55,53000,6
,,,,,,,,,,,,,,,,,,,,5,7020,52,40,9999999,9,21,20,9999999,9
6,132,0,0,0,0,0,0,0,0,7,1088,0,0,0,0,0,0,0,0,5,646,0,0,0,0,0,0,0,0
6,464,35,32,500,6,0,0,0,0,7,5870,0,0,0,0,0,0,0,0,,,,,,,,,,
6,5063,52,45,18000,6,0,0,0,0,7,6198,49,30,12000,6,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,8440,0,0,0,0,0,0,0,0
6,5618,0,0,0,0,0,0,0,0,7,7447,0,0,0,0,0,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,2180,52,40,40000,6,52,25,8000,6
,,,,,,,,,,,,,,,,,,,,5,5507,52,35,16000,6,0,0,0,0
6,3235,52,50,60000,6,52,30,20000,6,7,2899,52,50,75000,6,52,20,20000,6,5,6142,52,45,9999999,9,0,0,0,0
6,318,52,45,48000,6,52,40,17000,6,7,395,52,40,55000,6,52,45,27000,6,5,1194,52,47,55000,6,52,40,26000,6
6,1731,52,40,36000,6,0,0,0,0,7,6527,52,40,45000,6,0,0,0,0,,,,,,,,,,
6,3791,52,60,147000,6,52,40,18000,6,7,22,52,50,-999999,9,49,32,3000,6,5,1756,52,50,34000,6,39,30,10300,6
6,7945,52,40,339000,6,0,0,0,0,7,7981,52,60,99025,6,22,16,500,6,5,8519,52,40,29000,6,0,0,0,0
6,434,52,30,11000,6,52,24,45000,6,7,1807,52,20,12385,6,52,30,49265,6,5,2032,52,40,13500,6,52,36,47000,6
6,113,0,0,0,0,0,0,0,0,7,3365,0,0,0,0,0,0,0,0,5,570,0,0,0,0,0,0,0,0
6,824,52,50,74000,6,0,0,0,0,7,5098,52,50,63000,6,0,0,0,0,5,6857,52,50,85500,6,0,0,0,0
6,4023,52,45,50000,6,52,40,53000,6,7,7055,52,24,45000,6,52,21,12000,6,5,4822,52,30,40000,6,52,21,31000,6
6,5024,50,20,5000,6,0,0,0,0,7,6294,52,50,29500,6,0,0,0,0,5,2637,52,42,26000,6,52,41,34000,6
6,3530,52,36,50000,6,52,35,31000,6,7,7031,52,40,55000,6,52,35,36000,6,5,4395,52,40,59000,6,52,40,43000,6
6,3516,52,40,29978,6,52,50,29094,6,7,7098,52,40,44000,6,52,50,38000,6,5,2433,52,40,57637,6,52,50,39830,6
6,2837,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
6,909,0,0,0,0,0,0,0,0,7,224,0,0,0,0,0,0,0,0,5,390,0,0,0,0,0,0,0,0
6,1799,52,50,70000,6,52,20,30000,6,7,546,52,45,80000,6,52,40,65000,6,5,927,52,50,85000,6,30,40,45000,6
6,78,0,0,0,0,0,0,0,0,7,1224,0,0,0,0,0,0,0,0,5,109,0,0,0,0,0,0,0,0
6,183,52,37,59000,6,0,0,0,0,7,1980,52,38,55000,6,0,0,0,0,5,2429,52,37,55000,6,0,0,0,0
6,1772,52,40,38000,6,52,40,29000,6,7,1781,52,40,41000,6,52,40,31000,6,5,149,52,40,9999999,9,52,40,9999999,9
6,315,0,0,0,0,0,0,0,0,7,854,0,0,0,0,0,0,0,0,5,3329,0,0,0,0,0,0,0,0
6,6520,52,40,50000,6,0,0,0,0,7,1548,52,36,80000,6,0,0,0,0,5,279,52,35,60000,6,0,0,0,0
,,,,,,,,,,7,7061,52,50,60000,6,52,60,270000,6,,,,,,,,,,
6,775,52,55,40000,6,0,0,0,0,7,958,52,50,70000,6,0,0,0,0,5,6330,52,60,140000,6,52,40,40000,6
,,,,,,,,,,,,,,,,,,,,5,4308,52,20,22000,6,0,0,0,0
6,1195,0,0,0,0,0,0,0,0,7,5494,0,0,0,0,0,0,0,0,5,2349,0,0,0,0,0,0,0,0
6,1185,52,40,50000,6,0,0,0,0,7,5499,19,45,12000,6,0,0,0,0,5,2334,0,0,0,0,0,0,0,0
6,424,0,0,0,0,52,65,52000,6,7,632,0,0,0,0,52,52,58000,6,5,2105,0,0,0,0,52,70,55000,6
6,2036,0,0,0,0,0,0,0,0,7,944,0,0,0,0,0,0,0,0,,,,,,,,,,
6,1489,52,40,44000,6,52,35,8300,6,7,297,52,40,52000,6,52,52,9100,6,5,1157,52,40,58000,6,52,30,9300,6
6,1513,52,45,49000,6,0,0,0,0,7,7446,52,42,48000,6,0,0,0,0,5,4441,52,45,53000,6,0,0,0,0
