"","KID","year","tau_m","tau_f","tau_both","tau_m2","tau_f2"
"4890",6287043,2002,18.9166666666667,9,18.9166666666667,4.68333333333333,0.766666666666667
"4891",6287044,1997,16.6666666666667,0,16.6666666666667,11.9166666666667,0
"4892",6287044,2002,3.5,0,3.5,3.5,0
"4893",6316031,1997,7.83333333333333,0,7.83333333333333,7.83333333333333,0
"4894",6316031,2002,0,0,0,0,0
"4895",6316032,1997,18.6666666666667,6.08333333333333,21.3333333333333,18.6666666666667,6.08333333333333
"4896",6316033,1997,28.75,7.91666666666667,31.6666666666667,28.75,7.91666666666667
"4897",6316172,1997,0,2.8,2.8,0,2.8
"4898",6327171,1997,9.5,3.33333333333333,9.5,6.83333333333333,3.33333333333333
"4899",6327172,1997,18.4166666666667,0,18.4166666666667,13.75,0
"4900",6335035,1997,22.5,2.5,22.5,22.5,2.5
"4901",6335035,2002,3.08333333333333,0,3.08333333333333,3.08333333333333,0
"4902",6335036,1997,21.6666666666667,2.5,21.6666666666667,21.6666666666667,2.5
"4903",6335036,2002,5.33333333333333,0,5.33333333333333,5.33333333333333,0
"4904",6335037,1997,4.5,14.1666666666667,18.6666666666667,0.5,14.1666666666667
"4905",6335037,2002,22.0833333333333,0,22.0833333333333,22.0833333333333,0
"4906",6335038,1997,30,0,30,29,0
"4907",6335038,2002,9.43333333333333,0,9.43333333333333,9.43333333333333,0
"4908",6342170,1997,8,0,8,8,0
"4909",6342170,2002,2.5,0,2.5,2.5,0
"4910",6350033,2002,2.58333333333333,18.5833333333333,19.0833333333333,2.58333333333333,12.3333333333333
"4911",6350034,1997,40,9.58333333333333,47.0833333333333,32.5,9.58333333333333
"4912",6350034,2002,33.0833333333333,9.75,42.3333333333333,15.75,2.16666666666667
"4913",6350035,2002,15.75,3,15.75,15.75,3
"4914",6357034,1997,12.2333333333333,0,12.2333333333333,7.23333333333333,0
"4915",6357034,2002,12.75,0,12.75,6.5,0
"4916",6357035,1997,37.6333333333333,0,37.6333333333333,24.7166666666667,0
"4917",6357035,2002,51.5833333333333,40.25,51.5833333333333,25.5,19.1666666666667
"4918",6358037,1997,5.88333333333333,0,5.88333333333333,5.88333333333333,0
"4919",6358037,2002,0,0,0,0,0
"4920",6358038,1997,3.75,2.5,3.75,3.75,2.5
"4921",6358038,2002,16.6666666666667,9.16666666666667,16.6666666666667,11.6666666666667,4.16666666666667
"4922",6358041,1997,7.75,15.25,15.25,7.75,15.25
"4923",6358043,2002,16.9166666666667,0,16.9166666666667,16.9166666666667,0
"4924",6361030,1997,39.1666666666667,13.6666666666667,49,34.3333333333333,9.33333333333333
"4925",6361030,2002,9,5.25,12.75,9,5.25
"4926",6361033,1997,34.0833333333333,22,46,31.75,22
"4927",6361033,2002,11.8333333333333,13.75,13.75,4.33333333333333,6.25
"4928",6361034,1997,49.0833333333333,11.5833333333333,55.4166666666667,49.0833333333333,11.5833333333333
"4929",6361034,2002,10.3333333333333,14.9166666666667,14.9166666666667,5.33333333333333,9.91666666666667
"4930",6365046,2002,16.8333333333333,0,16.8333333333333,1.83333333333333,0
"4931",6365049,1997,6.73333333333333,16.5666666666667,16.5666666666667,6.73333333333333,16.5666666666667
"4932",6365049,2002,9.5,0,9.5,4.5,0
"4933",6365050,1997,8.66666666666667,11.6666666666667,13.6666666666667,7.66666666666667,11.6666666666667
"4934",6365050,2002,2.5,0,2.5,2.5,0
"4935",6365051,2002,9.41666666666667,0,9.41666666666667,3.91666666666667,0
"4936",6365053,2002,20.8333333333333,0,20.8333333333333,6.33333333333333,0
"4937",6366031,1997,0,0,0,0,0
"4938",6366031,2002,10,0,10,5,0
"4939",6366032,1997,0,0,0,0,0
"4940",6366032,2002,0.666666666666667,0,0.666666666666667,0.666666666666667,0
"4941",6367036,1997,31.9166666666667,0,31.9166666666667,26.9166666666667,0
"4942",6368033,1997,14,0,14,4,0
"4943",6368033,2002,0.666666666666667,0,0.666666666666667,0.666666666666667,0
"4944",6368034,1997,3.75,0,3.75,3.75,0
"4945",6368034,2002,0,0,0,0,0
"4946",6368035,2002,13.6,0.566666666666667,13.6,13.6,0.566666666666667
"4947",6368180,1997,12.5,0,12.5,9.5,0
"4948",6368180,2002,7.66666666666667,0,7.66666666666667,7.66666666666667,0
"4949",6370036,2002,0,0,0,0,0
"4950",6370037,1997,19.0833333333333,0,19.0833333333333,19.0833333333333,0
"4951",6370037,2002,4.16666666666667,0,4.16666666666667,1,0
"4952",6370038,1997,86,0,86,66.5833333333333,0
"4953",6370038,2002,39.25,8.75,39.25,36.75,8.75
"4954",6370039,1997,35.75,0,35.75,22,0
"4955",6370039,2002,16,0,16,6.41666666666667,0
"4956",6370040,1997,52.25,31.25,52.25,40.75,23.3333333333333
"4957",6370040,2002,31.6833333333333,40.1666666666667,44.35,31.6833333333333,35
"4958",6370041,1997,8,0,8,8,0
"4959",6370041,2002,13,0,13,5.83333333333333,0
"4960",6370042,1997,59.5,0,59.5,54.5,0
"4961",6370042,2002,39.75,15,39.75,34,15
"4962",6375033,1997,9.25,3,12.25,9.25,3
"4963",6375033,2002,14.3333333333333,0,14.3333333333333,14.3333333333333,0
"4964",6375034,1997,24.25,0,24.25,24.25,0
"4965",6375034,2002,11,0,11,11,0
"4966",6376034,1997,27.5,12.5,27.5,27.5,12.5
"4967",6376034,2002,17.5,5.5,18,17.5,5.5
"4968",6376175,1997,0,0,0,0,0
"4969",6377035,1997,16.7,14.2,16.7,9,6.5
"4970",6377035,2002,3.58333333333333,3.16666666666667,3.58333333333333,3.58333333333333,3.16666666666667
"4971",6377036,1997,0,0,0,0,0
"4972",6377036,2002,5,0,5,2.5,0
"4973",6377037,2002,15.8333333333333,0,15.8333333333333,8.75,0
"4974",6381040,1997,25.4166666666667,2,25.4166666666667,17.9166666666667,2
"4975",6396030,1997,14.6,9.83333333333333,18.1833333333333,10.8333333333333,7.33333333333333
"4976",6396030,2002,25,0,25,17.3333333333333,0
"4977",6396031,1997,28.5,29.85,50.1833333333333,26,22.35
"4978",6396031,2002,32.75,0,32.75,15.25,0
"4979",6398031,2002,1.25,0,1.25,1.25,0
"4980",6406035,1997,11.6666666666667,23.5,35.1666666666667,9,23.5
"4981",6406037,1997,40.4166666666667,0,40.4166666666667,40.4166666666667,0
"4982",6411033,1997,45.3333333333333,0,45.3333333333333,33.8333333333333,0
"4983",6411033,2002,27.8333333333333,0,27.8333333333333,27.8333333333333,0
"4984",6411034,1997,25.65,29.2833333333333,38.1166666666667,16.15,21.7666666666667
"4985",6413036,1997,11.6666666666667,0,11.6666666666667,11.6666666666667,0
"4986",6413036,2002,0,0,0,0,0
"4987",6413037,1997,6.66666666666667,0,6.66666666666667,6.66666666666667,0
"4988",6413037,2002,10.75,0,10.75,10.75,0
"4989",6413038,2002,10.5,0,10.5,10.5,0
"4990",6413039,1997,28.1666666666667,0,28.1666666666667,20.1666666666667,0
"4991",6413039,2002,5.63333333333333,4.9,5.63333333333333,5.63333333333333,4.9
"4992",6413040,2002,13.0833333333333,0,13.0833333333333,13.0833333333333,0
"4993",6413042,1997,29.9166666666667,2.08333333333333,32,27.4166666666667,2.08333333333333
"4994",6413042,2002,47.9166666666667,0,47.9166666666667,31.6666666666667,0
"4995",6414173,1997,0.833333333333333,23.25,24.0833333333333,0.833333333333333,23.25
"4996",6414173,2002,0,0,0,0,0
"4997",6418036,1997,11.05,55.0666666666667,62.6166666666667,9.38333333333333,43.7333333333333
"4998",6418036,2002,22.8333333333333,9.5,32.3333333333333,19.9166666666667,9.5
"4999",6418176,1997,7.83333333333333,12.2,12.2,6.33333333333333,10.3666666666667
"5000",6418176,2002,2.5,0,2.5,2.5,0
"5001",6434030,1997,25.4166666666667,28.8333333333333,35.8333333333333,25.4166666666667,26.5
"5002",6434030,2002,26.5,0,26.5,20.1666666666667,0
"5003",6434172,1997,25.5833333333333,20,26.25,25.5833333333333,19.3333333333333
"5004",6436046,1997,15.0666666666667,0,15.0666666666667,12.0666666666667,0
"5005",6436047,1997,33.9166666666667,0,33.9166666666667,18.4166666666667,0
"5006",6436047,2002,3.66666666666667,1,3.66666666666667,3.66666666666667,1
"5007",6436048,1997,15.9666666666667,0,15.9666666666667,15.9666666666667,0
"5008",6436049,1997,9.58333333333333,0,9.58333333333333,9.58333333333333,0
"5009",6436049,2002,34.25,11.25,45.5,28.5833333333333,11.25
"5010",6438032,2002,21.8,0,21.8,14.3333333333333,0
"5011",6444034,2002,1.83333333333333,17.1666666666667,17.1666666666667,1.83333333333333,17.1666666666667
"5012",6444035,2002,1.83333333333333,3.33333333333333,4.33333333333333,1,2.5
"5013",6472030,1997,22.1666666666667,0,22.1666666666667,11,0
"5014",6475037,1997,0,0,0,0,0
"5015",6475037,2002,0,0,0,0,0
"5016",6475038,1997,24,0,24,13.5,0
"5017",6475038,2002,30,0,30,14.5,0
"5018",6475040,1997,0,0,0,0,0
"5019",6475041,1997,18.25,0,18.25,18.25,0
"5020",6475041,2002,12.9166666666667,0,12.9166666666667,12.9166666666667,0
"5021",6475042,1997,30.1666666666667,0,30.1666666666667,30.1666666666667,0
"5022",6475042,2002,33.5833333333333,10.1666666666667,37.25,33.5833333333333,6.5
"5023",6475043,1997,50.5,17,67.5,50.5,17
"5024",6476035,1997,21.1666666666667,4.16666666666667,22,18.6666666666667,4.16666666666667
"5025",6476035,2002,20.1666666666667,0,20.1666666666667,18.1666666666667,0
"5026",6478031,1997,23.8666666666667,10.2166666666667,26.6166666666667,23.8666666666667,10.2166666666667
"5027",6478031,2002,11.2666666666667,12.1666666666667,23.4333333333333,4.83333333333333,12.1666666666667
"5028",6478045,1997,23.5833333333333,35.8333333333333,35.8333333333333,16.0833333333333,28.3333333333333
"5029",6478045,2002,3.5,3.5,3.5,0,0
"5030",6478048,1997,32.6666666666667,5,32.6666666666667,26.9166666666667,5
"5031",6478048,2002,19.3333333333333,0,19.3333333333333,19.3333333333333,0
"5032",6478052,1997,35.25,0,35.25,35.25,0
"5033",6478052,2002,9.41666666666667,11.3333333333333,11.75,3.41666666666667,5.33333333333333
"5034",6484044,1997,29.6666666666667,21.8833333333333,39.2166666666667,7.83333333333333,10.3833333333333
"5035",6484044,2002,10.2666666666667,15.9333333333333,17.7666666666667,5.33333333333333,11
