"","KID","m_pc_st","m_pc_raw"
"636",1048038,97,32
"637",1048039,97,32
"638",1048182,84,23
"639",1048184,79,26
"640",1048185,79,26
"641",1048194,79,27
"642",1048195,79,27
"643",1051042,95,32
"644",1051044,85,29
"645",1051045,95,32
"646",1055030,109,37
"647",1055032,109,37
"648",1060032,120,38
"649",1061030,NA,NA
"650",1061032,NA,NA
"651",1062031,101,34
"652",1066032,86,30
"653",1066033,97,34
"654",1066034,86,30
"655",1066035,97,34
"656",1068032,NA,NA
"657",1072031,82,28
"658",1072032,82,28
"659",1077031,88,29
"660",1077032,88,29
"661",1084032,96,32
"662",1084033,90,31
"663",1084035,NA,NA
"664",1088037,78,25
"665",1088038,78,25
"666",1090032,NA,NA
"667",1090173,89,28
"668",1092032,115,37
"669",1092033,107,36
"670",1092034,115,37
"671",1092035,107,36
"672",1093031,115,38
"673",1093032,122,39
"674",1093033,122,39
"675",1093034,115,38
"676",1096033,83,26
"677",1098032,90,31
"678",1098033,90,31
"679",1100031,97,34
"680",1100032,97,34
"681",1100034,69,23
"682",1107034,69,23
"683",1107035,69,23
"684",1109030,93,33
"685",1121031,NA,NA
"686",1121033,77,26
"687",1121034,NA,NA
"688",1125031,79,26
"689",1125032,79,26
"690",1126035,115,38
"691",1126036,115,38
"692",1127030,90,31
"693",1129039,NA,NA
"694",1129187,NA,NA
"695",1129189,NA,NA
"696",1129197,NA,NA
"697",1131032,NA,NA
"698",1131034,NA,NA
"699",1141034,NA,NA
"700",1141035,NA,NA
"701",1141036,NA,NA
"702",1141037,75,23
"703",1141175,NA,NA
"704",1141179,75,23
"705",1142031,94,33
"706",1142032,94,33
"707",1142033,94,33
"708",1142034,94,33
"709",1144036,NA,NA
"710",1144037,107,36
"711",1149030,93,31
"712",1150171,125,39
"713",1150172,125,39
"714",1151034,91,29
"715",1151036,100,34
"716",1151037,96,33
"717",1151038,100,34
"718",1151039,96,33
"719",1152038,NA,NA
"720",1154030,NA,NA
"721",1161030,NA,NA
"722",1163036,101,34
"723",1163037,82,26
"724",1163038,82,26
"725",1163039,89,29
"726",1163040,103,35
"727",1163041,103,35
"728",1163042,94,30
"729",1163043,89,29
"730",1163045,93,33
"731",1164033,84,28
"732",1166037,93,31
"733",1167041,77,26
"734",1167042,75,25
"735",1167043,77,26
"736",1167044,74,25
"737",1167045,74,25
"738",1167046,75,25
"739",1168035,78,21
"740",1168036,78,21
"741",1168037,58,19
"742",1168174,85,29
"743",1168175,85,29
"744",1169030,113,37
"745",1169031,113,37
"746",1178176,NA,NA
"747",1178177,NA,NA
"748",1179033,93,32
"749",1184039,98,33
"750",1184040,114,37
"751",1184041,98,33
"752",1184043,NA,NA
"753",1185032,103,36
"754",1185034,103,36
"755",1192033,97,33
"756",1192034,99,34
"757",1192035,97,33
"758",1200034,NA,NA
"759",1210031,106,35
"760",1213031,118,38
"761",1220030,NA,NA
"762",1220031,NA,NA
"763",1221031,110,36
"764",1221032,110,36
"765",1221033,97,33
"766",1221034,97,33
"767",1221035,NA,NA
"768",1221036,NA,NA
"769",1222034,96,33
"770",1222035,NA,NA
"771",1222185,96,33
"772",1222189,92,31
"773",1225031,116,37
"774",1227034,104,35
"775",1227035,110,36
"776",1227195,129,37
"777",1230031,128,40
"778",1233034,98,34
"779",1233035,98,34
"780",1236031,104,35
"781",1236032,128,40
"782",1241035,NA,NA
"783",1242032,108,36
"784",1242033,112,37
"785",1242034,94,32
"786",1242035,111,37
"787",1242036,94,32
"788",1242038,111,37
"789",1242039,112,37
"790",1254030,93,31
"791",1258030,124,39
"792",1258031,124,39
"793",1258032,111,37
"794",1258033,93,31
"795",1258034,111,37
"796",1260043,84,28
"797",1266030,55,17
"798",1266031,55,17
"799",1269033,91,31
"800",1274032,107,35
"801",1274033,107,35
"802",1281034,91,30
"803",1281035,NA,NA
"804",1281036,NA,NA
"805",1284031,115,38
"806",1284032,115,38
"807",1285030,124,39
"808",1285031,129,40
"809",1285032,124,39
"810",1285033,129,40
"811",1286032,118,38
"812",1286033,119,38
"813",1286175,109,36
"814",1290034,92,31
"815",1290035,92,31
"816",1292032,86,30
"817",1298031,106,36
"818",1298032,NA,NA
"819",1298033,106,36
"820",1302037,NA,NA
"821",1303032,NA,NA
"822",1303033,NA,NA
"823",1306031,NA,NA
"824",1315032,101,35
"825",1315033,101,35
"826",1315034,NA,NA
"827",1315035,NA,NA
"828",1315036,92,32
"829",1315039,92,32
"830",1332030,87,30
"831",1332032,87,30
"832",1332033,NA,NA
"833",1332181,NA,NA
"834",1335047,95,33
"835",1335048,87,29
"836",1335052,95,33
"837",1335053,106,36
"838",1335054,106,36
"839",1335056,NA,NA
"840",1336033,NA,NA
"841",1336034,NA,NA
"842",1336035,99,34
"843",1342031,NA,NA
"844",1345034,101,35
"845",1345035,109,36
"846",1351035,91,31
"847",1351036,91,31
"848",1355174,109,36
"849",1363031,93,33
"850",1368032,88,25
"851",1368175,88,25
"852",1368180,NA,NA
"853",1376032,78,24
"854",1383035,NA,NA
"855",1383036,NA,NA
"856",1383037,78,26
"857",1383040,78,26
"858",1394035,NA,NA
"859",1394036,76,26
"860",1394037,NA,NA
"861",1394038,76,26
"862",1394039,91,30
"863",1397033,95,32
"864",1397034,111,37
"865",1397037,95,32
"866",1397038,111,37
"867",1398030,87,30
"868",1399035,NA,NA
"869",1399036,NA,NA
"870",1399037,97,33
"871",1399038,NA,NA
"872",1399039,NA,NA
"873",1399040,97,33
"874",1407032,89,31
"875",1411039,84,27
"876",1411043,96,32
"877",1411044,95,33
"878",1411045,96,32
"879",1411185,90,31
"880",1411186,90,31
"881",1411190,93,33
"882",1415031,87,30
"883",1426034,68,23
"884",1426036,NA,NA
"885",1426038,68,23
"886",1426040,NA,NA
"887",1430030,NA,NA
"888",1430031,NA,NA
"889",1431030,99,34
"890",1432031,NA,NA
"891",1434035,112,37
"892",1445035,NA,NA
"893",1445037,NA,NA
"894",1460030,NA,NA
"895",1468033,94,32
"896",1468034,94,32
"897",1468035,92,32
"898",1473032,114,37
"899",1475031,NA,NA
"900",1475032,NA,NA
"901",1480033,NA,NA
"902",1480034,NA,NA
"903",1485033,84,29
"904",1485034,84,29
"905",1494031,77,25
"906",1494032,77,25
"907",1498032,89,31
"908",1498034,101,35
"909",1498035,74,25
"910",1498037,74,25
"911",1498178,101,35
"912",1503170,NA,NA
"913",1505030,101,34
"914",1516030,99,35
"915",1516031,105,36
"916",1516033,105,36
"917",1516172,99,35
"918",1522035,115,37
"919",1522036,119,38
"920",1522037,99,33
"921",1522038,93,32
"922",1522040,119,38
"923",1522041,93,32
"924",1522042,124,39
"925",1522043,124,39
"926",1523031,NA,NA
"927",1533032,NA,NA
"928",1533033,NA,NA
"929",1533034,NA,NA
"930",1537172,108,35
"931",1540178,94,33
"932",1541036,89,29
"933",1541037,NA,NA
"934",1541038,89,29
"935",1542031,93,32
"936",1542033,103,35
"937",1542034,NA,NA
"938",1542035,103,35
"939",1542036,NA,NA
"940",1542037,92,32
"941",1542039,93,32
"942",1542040,92,32
"943",1547031,NA,NA
"944",1547032,NA,NA
"945",1547033,NA,NA
"946",1551032,NA,NA
"947",1551037,NA,NA
"948",1559030,105,36
"949",1568033,108,36
"950",1568034,97,31
"951",1571037,83,28
"952",1571038,87,30
"953",1571039,87,30
"954",1571040,97,33
"955",1571181,122,39
"956",1572038,95,33
"957",1572040,95,33
"958",1572041,NA,NA
"959",1579042,114,37
"960",1583031,78,24
"961",1591033,106,35
"962",1591034,106,35
"963",1591035,109,36
"964",1591036,109,36
"965",1597030,77,26
"966",1597031,77,26
"967",1608032,101,35
"968",1608033,101,35
"969",1610031,93,32
"970",1611032,93,32
"971",1611033,NA,NA
"972",1611034,NA,NA
"973",1611177,100,34
"974",1612030,79,27
"975",1613036,100,34
"976",1613038,100,34
"977",1613039,89,30
"978",1613041,103,36
"979",1613042,89,30
"980",1621031,92,32
"981",1621032,92,32
"982",1624035,92,29
"983",1624036,108,36
"984",1624037,108,36
"985",1627032,NA,NA
"986",1628032,162,43
"987",1628033,162,43
"988",1632030,NA,NA
"989",1632031,NA,NA
"990",1633174,69,23
"991",1633175,69,23
"992",1633178,NA,NA
"993",1634032,79,27
"994",1634033,79,27
"995",1644030,107,36
"996",1644032,107,36
"997",1645031,NA,NA
"998",1645032,NA,NA
"999",1648032,92,32
"1000",1648173,92,32
"1001",1654031,107,36
"1002",1654032,108,36
"1003",1663034,NA,NA
"1004",1663036,115,37
"1005",1663037,NA,NA
"1006",1663038,NA,NA
"1007",1663040,105,36
"1008",1663041,115,37
"1009",1663042,105,36
"1010",1663043,122,39
"1011",1663046,113,37
"1012",1670034,93,32
"1013",1670035,72,23
"1014",1670036,72,23
"1015",1679030,82,28
"1016",1682033,88,29
"1017",1682034,100,35
"1018",1682035,100,35
"1019",1684034,98,34
"1020",1684035,98,34
"1021",1684036,100,34
"1022",1684037,100,34
"1023",1687031,122,39
"1024",1690033,92,32
"1025",1690034,92,32
"1026",1690035,91,30
"1027",1690036,91,30
"1028",1690172,78,26
"1029",1690173,78,26
"1030",1692038,77,26
"1031",1692039,77,26
"1032",1692040,NA,NA
"1033",1695045,NA,NA
"1034",1695046,86,29
"1035",1695047,NA,NA
"1036",1695048,106,36
"1037",1695050,118,38
"1038",1695051,NA,NA
"1039",1695052,NA,NA
"1040",1695054,90,30
"1041",1695064,NA,NA
"1042",1695199,NA,NA
"1043",1697044,103,35
"1044",1697045,103,35
"1045",1697046,NA,NA
"1046",1697047,NA,NA
"1047",1697048,NA,NA
"1048",1697049,86,29
"1049",1698031,107,36
"1050",1698173,89,31
"1051",1700036,104,35
"1052",1700038,104,35
"1053",1700039,109,36
"1054",1700180,87,30
"1055",1701032,94,33
"1056",1701033,94,33
"1057",1701034,106,36
"1058",1701035,137,41
"1059",1701036,137,41
"1060",1709183,NA,NA
"1061",1709184,NA,NA
"1062",1720178,109,36
"1063",1722037,79,27
"1064",1722038,85,28
"1065",1722040,120,37
"1066",1722184,94,33
"1067",1722185,94,33
"1068",1731031,99,34
"1069",1731032,94,33
"1070",1731033,99,34
"1071",1731035,94,33
"1072",1732030,97,34
"1073",1732031,97,34
"1074",1738032,59,19
"1075",1738033,59,19
"1076",1740032,89,29
"1077",1750031,97,34
"1078",1758033,NA,NA
"1079",1758034,NA,NA
"1080",1758035,NA,NA
"1081",1758036,NA,NA
"1082",1762040,NA,NA
"1083",1762041,113,37
"1084",1762042,NA,NA
"1085",1762043,113,37
"1086",1762044,95,33
"1087",1762045,93,32
"1088",1763035,79,27
"1089",1763036,79,27
"1090",1763038,109,36
"1091",1763040,109,36
"1092",1767032,98,33
"1093",1767033,110,36
"1094",1775033,100,35
"1095",1775035,100,35
"1096",1775036,136,41
"1097",1775037,136,41
"1098",1775038,114,38
"1099",1775039,114,38
"1100",1782033,77,26
"1101",1782034,NA,NA
"1102",1782035,77,26
"1103",1782175,NA,NA
"1104",1783030,117,37
"1105",1783170,117,37
"1106",1784033,NA,NA
"1107",1784035,NA,NA
"1108",1786045,92,31
"1109",1786047,92,31
"1110",1786048,80,23
"1111",1786049,92,31
"1112",1786050,NA,NA
"1113",1787035,97,34
"1114",1794032,NA,NA
"1115",1795033,107,36
"1116",1798039,NA,NA
"1117",1798040,97,34
"1118",1798041,94,32
"1119",1799038,84,28
"1120",1799039,84,28
"1121",1802033,97,34
"1122",1803030,NA,NA
"1123",1803031,NA,NA
"1124",1805033,131,40
"1125",1805034,131,40
"1126",1805175,NA,NA
"1127",1807035,97,33
"1128",1807037,92,31
"1129",1810043,101,34
"1130",1813032,86,28
"1131",1822034,NA,NA
"1132",1823033,61,15
"1133",1823034,NA,NA
"1134",1824176,99,33
"1135",1830033,NA,NA
"1136",1830034,78,27
"1137",1837034,NA,NA
"1138",1837035,NA,NA
"1139",1839034,70,23
"1140",1839035,70,23
"1141",1839036,87,30
"1142",1839038,87,30
"1143",1841035,100,34
"1144",1841036,100,34
"1145",1841037,104,35
"1146",1841039,104,35
"1147",1845030,92,31
"1148",1845031,92,31
"1149",1850033,98,34
"1150",1850034,98,34
"1151",1852032,97,34
"1152",1859031,115,37
"1153",1859033,115,37
"1154",1862032,97,34
"1155",1862033,97,34
"1156",1862173,NA,NA
"1157",1866032,NA,NA
"1158",1866033,107,35
"1159",1866034,87,30
"1160",1867033,111,36
"1161",1867034,111,36
"1162",1877176,NA,NA
"1163",1878033,150,42
"1164",1878034,150,42
"1165",1879032,NA,NA
"1166",1879033,NA,NA
"1167",1887037,95,32
"1168",1893034,91,30
"1169",1893035,91,30
"1170",1893036,105,36
"1171",1893037,105,36
"1172",1893038,95,32
"1173",1897030,100,34
"1174",1898030,81,28
"1175",1901031,97,34
"1176",1901172,97,34
"1177",1905031,100,35
"1178",1905032,100,35
"1179",1905033,94,33
"1180",1906031,98,34
"1181",1908032,NA,NA
"1182",1908033,NA,NA
"1183",1909030,NA,NA
"1184",1909031,NA,NA
"1185",1911033,NA,NA
"1186",1911034,91,31
"1187",1911035,NA,NA
"1188",1914032,107,36
"1189",1914033,80,27
"1190",1915030,93,31
"1191",1915031,93,31
"1192",1915032,70,22
"1193",1917030,119,38
"1194",1917031,99,34
"1195",1917032,96,33
"1196",1917033,99,34
"1197",1917034,96,33
"1198",1918033,NA,NA
"1199",1919037,107,36
"1200",1919038,107,36
"1201",1919040,118,38
"1202",1919041,113,37
"1203",1919043,100,35
"1204",1919044,92,32
"1205",1919045,100,35
"1206",1919046,92,32
"1207",1920032,124,39
"1208",1920033,124,39
"1209",1925031,131,40
"1210",1926031,NA,NA
"1211",1926032,NA,NA
"1212",1926033,NA,NA
"1213",1928030,86,30
"1214",1930034,114,37
"1215",1930035,114,37
"1216",1932035,84,28
"1217",1935172,NA,NA
"1218",1935173,NA,NA
"1219",1945032,122,39
"1220",1947030,NA,NA
"1221",1947031,91,32
"1222",1947032,91,32
"1223",1954030,91,32
"1224",1954031,91,32
"1225",1954033,NA,NA
"1226",1954171,NA,NA
"1227",1955030,NA,NA
"1228",1956030,NA,NA
"1229",1959031,150,42
"1230",1959032,96,33
"1231",1960032,113,36
"1232",1960178,104,35
"1233",1960179,104,35
"1234",1962030,93,31
"1235",1962031,93,31
"1236",1965031,100,34
"1237",1969032,105,36
"1238",1969033,105,36
"1239",1970032,92,32
"1240",1971033,92,31
"1241",1975032,124,39
"1242",1975033,124,39
"1243",1978031,NA,NA
"1244",1985030,NA,NA
"1245",1994177,66,22
"1246",1994178,66,22
"1247",2004035,NA,NA
"1248",2004036,NA,NA
