"","KID","year","Toys","Vacation","SchSupplies","Clothing","Food","sports","lessons","comm_grps","tutoring","tuition"
"1",4039,2002,5.76923076923077,0,0.961538461538462,19.2307692307692,100,0,0,0,0,0
"2",4041,2002,13.4615384615385,0,3.84615384615385,9.61538461538461,30.7692307692308,0,0,0,0,0
"3",4042,2002,9.61538461538461,0,5.76923076923077,9.61538461538461,30.7692307692308,0,0,0,0,0
"4",4187,2002,5.76923076923077,19.2307692307692,0.961538461538462,11.5384615384615,NA,1.92307692307692,0,0,4.61538461538461,0
"5",5032,2002,7.69230769230769,0,5.76923076923077,1.92307692307692,50,0,0,0,0,0
"6",7039,2002,1.92307692307692,0,0.384615384615385,0.961538461538462,50,0,0,0,0,0
"7",7040,2002,3.84615384615385,0,0.961538461538462,1.92307692307692,25,0,0,0,0,0
"8",7045,2002,0.961538461538462,0,0.769230769230769,1.92307692307692,0.961538461538462,0,0,0,0,0
"9",10033,2002,6.73076923076923,8.65384615384615,1.92307692307692,5.76923076923077,6.73076923076923,NA,0,1.15384615384615,0,0
"10",10034,2002,NA,17.3076923076923,0.961538461538462,NA,NA,0.865384615384615,0,0,0,0
"11",10035,2002,6.73076923076923,11.5384615384615,1.92307692307692,4.80769230769231,7.69230769230769,0.961538461538462,0,0,0,0
"12",14030,2002,13.4615384615385,13.4615384615385,1.92307692307692,11.5384615384615,34.6153846153846,5.76923076923077,0,0,0,0
"13",14031,2002,13.4615384615385,13.4615384615385,2.88461538461538,9.61538461538461,23.0769230769231,0.673076923076923,0,0,0,0
"14",14032,2002,3.84615384615385,19.2307692307692,0.384615384615385,5.76923076923077,1.92307692307692,0,3.84615384615385,0.192307692307692,0,0
"15",14033,2002,3.84615384615385,19.2307692307692,0.384615384615385,3.84615384615385,1.92307692307692,0.480769230769231,3.84615384615385,0,0,0
"16",18038,2002,9.61538461538461,28.8461538461538,3.84615384615385,23.0769230769231,11.5384615384615,73.0769230769231,0.961538461538462,0,0,0
"17",18039,2002,7.69230769230769,4.80769230769231,0.576923076923077,9.61538461538461,37.5,3.84615384615385,0,0,0,0
"18",18040,2002,7.69230769230769,4.80769230769231,0.576923076923077,5.76923076923077,37.6923076923077,3.84615384615385,0,0,0,0
"19",18041,2002,19.2307692307692,7.69230769230769,0.961538461538462,9.61538461538461,28.8461538461538,0.480769230769231,0,0,0,0
"20",18189,2002,19.2307692307692,0,1.92307692307692,19.2307692307692,34.6153846153846,0,0,0,0,0
"21",22030,2002,15.3846153846154,3.84615384615385,1.44230769230769,19.2307692307692,28.8461538461538,0,0,0,0,0
"22",22031,2002,19.2307692307692,0,1.44230769230769,28.8461538461538,19.2307692307692,5.76923076923077,0,0,0,0
"23",22176,2002,11.5384615384615,3.84615384615385,0.961538461538462,4.80769230769231,28.8461538461538,3.84615384615385,0,0,0,0
"24",39031,2002,3.84615384615385,3.84615384615385,0.961538461538462,3.84615384615385,23.0769230769231,0,9.23076923076923,1.44230769230769,0,0
"25",40035,2002,11.5384615384615,11.5384615384615,2.88461538461538,7.69230769230769,46.1538461538462,5.76923076923077,0,0,0,0
"26",45032,2002,7.69230769230769,4.80769230769231,1.92307692307692,7.69230769230769,69.2307692307692,0,0,0,0,0
"27",45034,2002,9.61538461538461,0,1.53846153846154,5.76923076923077,15.3846153846154,3.84615384615385,0,0,0,0
"28",47034,2002,23.0769230769231,5.76923076923077,9.61538461538461,9.61538461538461,23.0769230769231,0,0.538461538461538,0,0,0
"29",47035,2002,9.61538461538461,5.76923076923077,0.961538461538462,9.61538461538461,0.961538461538462,3.84615384615385,0,0,0,0
