"","KID","chcare","Arrange","Price","year"
"2813",5825031,55,NA,NA,1997
"2814",5826036,0,"Relative",0,1997
"2815",5831177,0,NA,NA,1997
"2816",5832030,90,NA,NA,1997
"2817",5834034,0,NA,NA,1997
"2818",5834184,2.5,"Before/After School Prog.",2.33333333333333,1997
"2819",5835036,0,NA,NA,1997
"2820",5835181,37,NA,NA,1997
"2821",5841035,0,NA,NA,1997
"2822",5841038,9,NA,NA,1997
"2823",5849043,0,NA,NA,1997
"2824",5849047,50,NA,NA,1997
"2825",5853044,0,NA,NA,1997
"2826",5853194,0,NA,NA,1997
"2827",5858037,0,NA,NA,1997
"2828",5858038,0,NA,NA,1997
"2829",5858039,0,NA,NA,1997
"2830",5858188,0,"Relative",0,1997
"2831",5861034,0,"Relative",0,1997
"2832",5861035,0,"Relative",0,1997
"2833",5863038,0,"Relative",0,1997
"2834",5863039,0,NA,NA,1997
"2835",5863040,0,NA,NA,1997
"2836",5863044,0,NA,NA,1997
"2837",5864178,0,NA,NA,1997
"2838",5864179,0,NA,NA,1997
"2839",5871030,0,NA,NA,1997
"2840",5871171,0,NA,NA,1997
"2841",5872037,0,NA,NA,1997
"2842",5872038,0,NA,NA,1997
"2843",5872040,0,NA,NA,1997
"2844",5872041,0,NA,NA,1997
"2845",5874179,0,NA,NA,1997
"2846",5875172,0,NA,NA,1997
"2847",5876032,0,NA,NA,1997
"2848",5876033,11.5384615384615,"Relative",1.15384615384615,1997
"2849",5885033,40,"Family Center",8,1997
"2850",5897031,0,NA,NA,1997
"2851",5897032,0,NA,NA,1997
"2852",5898034,50,"Before/After School Prog.",11.1111111111111,1997
"2853",5898037,60,NA,NA,1997
"2854",5899031,0,NA,NA,1997
"2855",5899032,0,NA,NA,1997
"2856",5900035,0,NA,NA,1997
"2857",5900036,0,NA,NA,1997
"2858",5900037,0,NA,NA,1997
"2859",5900039,0,NA,NA,1997
"2860",5900040,0,NA,NA,1997
"2861",5900175,0,NA,NA,1997
"2862",5901038,0,"Before/After School Prog.",0,1997
"2863",5901040,25,"Non Relative",1,1997
"2864",5901041,0,NA,NA,1997
"2865",5901042,0,NA,NA,1997
"2866",5901043,0,NA,NA,1997
"2867",5903033,0,"Relative",0,1997
"2868",5904044,0,NA,NA,1997
"2869",5904045,0,NA,NA,1997
"2870",5904048,0,NA,NA,1997
"2871",5904049,0,NA,NA,1997
"2872",5904050,0,NA,NA,1997
"2873",5904052,50,NA,NA,1997
"2874",5909037,45,NA,NA,1997
"2875",5916037,0,NA,NA,1997
"2876",5916038,0,NA,NA,1997
"2877",5916039,0,NA,NA,1997
"2878",5921032,0,NA,NA,1997
"2879",5922039,0,"Relative",0,1997
"2880",5922040,0,"Relative",0,1997
"2881",5922043,0,NA,NA,1997
"2882",5922204,0,NA,NA,1997
"2883",5922205,0,NA,NA,1997
"2884",5922206,0,NA,NA,1997
"2885",5922208,0,NA,NA,1997
"2886",5925041,0,NA,NA,1997
"2887",5925176,0,"Relative",0,1997
"2888",5926031,20,"Before/After School Prog.",1.33333333333333,1997
"2889",5926032,7,"Before/After School Prog.",1.75,1997
"2890",5926033,30,"Care Center",3.75,1997
"2891",5926034,0,NA,NA,1997
"2892",5926036,50,NA,NA,1997
"2893",5926172,0,NA,0,1997
"2894",5938033,9.23076923076923,"Before/After School Prog.",3.07692307692308,1997
"2895",5938034,0,NA,NA,1997
"2896",5940032,0,NA,NA,1997
"2897",5942037,0,NA,0,1997
"2898",5942038,0,NA,NA,1997
"2899",5942174,0,NA,NA,1997
"2900",5947034,90,NA,NA,1997
"2901",5959036,0,NA,NA,1997
"2902",5960042,0,NA,NA,1997
"2903",5960043,0,NA,NA,1997
"2904",5960044,0,NA,NA,1997
"2905",5960045,0,NA,NA,1997
"2906",5960047,0,NA,NA,1997
"2907",5960048,0,NA,NA,1997
"2908",5964030,83,"Before/After School Prog.",5.53333333333333,1997
"2909",5964032,83,"Before/After School Prog.",5.53333333333333,1997
"2910",5965037,0,NA,NA,1997
"2911",5965185,0,NA,NA,1997
"2912",5968033,95,"Family Center",1.35714285714286,1997
"2913",5968034,30,NA,NA,1997
"2914",5969034,0,NA,NA,1997
"2915",5977035,0,NA,NA,1997
"2916",5984034,780,"Relative",65,1997
"2917",5984035,65,"Relative",5.41666666666667,1997
"2918",5987035,12.6923076923077,"Care Center",0.846153846153846,1997
"2919",5987036,50,NA,NA,1997
"2920",5987192,0,NA,NA,1997
"2921",5990035,0,NA,NA,1997
"2922",5990036,0,NA,NA,1997
"2923",5990037,0,NA,NA,1997
"2924",5990177,0,NA,NA,1997
"2925",5990178,0,NA,NA,1997
"2926",5990180,0,NA,NA,1997
"2927",5991031,0,NA,NA,1997
"2928",5991032,0,NA,NA,1997
"2929",5991033,0,NA,NA,1997
"2930",5991034,0,NA,NA,1997
"2931",5994032,50,NA,NA,1997
"2932",5995032,0,NA,NA,1997
"2933",5995033,0,NA,NA,1997
"2934",5995034,0,NA,NA,1997
"2935",5995038,0,NA,NA,1997
"2936",5995040,0,NA,NA,1997
"2937",5995042,0,NA,NA,1997
"2938",5995043,0,NA,NA,1997
"2939",5995044,0,NA,NA,1997
"2940",5998034,98,NA,NA,1997
"2941",6023033,0,NA,0,1997
"2942",6023035,110,NA,NA,1997
"2943",6024033,0,NA,NA,1997
"2944",6024034,0,NA,NA,1997
"2945",6024035,0,NA,NA,1997
"2946",6028043,0,NA,NA,1997
"2947",6028180,0,NA,NA,1997
"2948",6028181,0,NA,NA,1997
"2949",6030034,0,NA,NA,1997
"2950",6030036,70,NA,NA,1997
"2951",6030037,0,NA,NA,1997
