ER30001,ER30002,ER33401,ER33402,ER33403,CHREL97,Q1H14,Q1H18,Q1H19,Q1H21,Q1H21A,Q1H22,Q1H22A,ER33601,ER33602,ER33603,CHREL,Q21C12,Q21C13,Q21C15A,Q21C15B,Q21H23A,Q21H23A1,Q21H23B,Q21H23B1,Q21H23C,Q21H23C1,Q21H23D,Q21H23D1,Q21H23H,Q21H23H1,ER33901,ER33902,ER33903,PCHREL07,Q31C12,Q31C13,Q31C15A,Q31C15B
2502,36,2319,4,30,2,5,5,3.5,20,3,2,9,4838,4,30,4,0,0,0,0,1,600,1,800,1,50,1,400,1,7800,6713,4,30,3,0,0,0,0
2502,37,2319,5,30,2,0,0,0,0,0,0,0,4838,5,30,4,0,8,0,0,1,600,1,800,1,200,1,300,1,7800,6713,5,30,3,0,0,0,0
2506,178,1469,3,30,2,2,2,4,0,0,0,0,3784,3,30,4,0,0,0,0,5,0,5,0,5,0,5,0,1,1820,273,2,30,,,,,
2509,35,2753,5,30,2,0,0,0,0,0,0,0,2017,5,30,,,,,,,,,,,,,,,,5004,51,30,,,,,
2509,36,2752,2,30,2,0,0,0,0,0,0,0,3032,2,30,4,0,0,0,0,1,99999,5,0,1,9998,1,9998,1,99998,3337,2,30,,,,,
2509,37,2754,3,30,2,0,0,0,0,0,0,0,1450,3,30,4,0,0,0,0,1,300,5,0,1,100,1,400,1,1500,5528,51,30,,,,,
2509,38,3421,3,30,2,8,2,13,33,3,1,1,2069,3,30,4,0,0,0,0,1,300,1,250,1,100,1,300,1,1500,4690,3,30,,,,,
2509,39,3677,3,30,2,3,1,3,7,1,1,1,1959,3,30,4,0,0,0,0,1,300,1,250,1,125,1,600,1,3000,3254,3,30,3,0,0,0,0
2509,40,3421,4,30,2,8,2,13,33,3,1,1,2069,4,30,4,0,0,0,0,1,300,1,250,1,50,1,200,1,1200,4690,4,30,3,0,0,0,0
2509,41,3677,4,30,2,0,0,0,0,0,0,0,1959,4,30,4,0,0,0,0,1,200,1,250,1,30,1,150,1,2000,3254,4,30,3,0,0,0,0
