ER30001,ER30002,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCGID_07,PCGPN_07,OCGID_07,OCGPN_07
1695,46,1695,11,1695,182,1695,11,,,1695,11,1695,226
1695,47,1695,6,,,,,,,,,,
1695,48,1695,210,1695,209,1695,210,1695,209,,,,
1695,50,1695,10,1695,193,1695,10,1695,193,1695,10,1695,193
1695,51,1695,205,1695,33,1695,33,1695,174,1695,33,1695,174
1695,52,1695,205,1695,33,1695,33,1695,174,1695,33,1695,174
1695,54,1695,34,1695,208,1695,34,1695,208,1695,34,1695,208
1695,64,1695,2,1695,1,1695,2,1695,1,,,,
1695,199,1695,181,1695,3,1695,37,,,,,,
1697,44,1697,6,,,1697,6,1697,42,,,,
1697,45,1697,6,,,1697,176,,,,,,
1697,46,1697,37,,,1697,37,1697,190,1697,37,,
1697,47,1697,37,,,1697,37,1697,190,1697,37,,
1697,48,1697,32,1697,184,1697,172,1697,5,1697,41,1697,194
1697,49,1697,182,1697,38,,,,,,,,
1698,31,1698,170,1698,3,,,,,,,,
1698,173,1698,4,1698,171,,,,,1698,4,1698,171
1700,36,1700,5,,,,,,,,,,
1700,38,1700,5,,,1700,5,,,,,,
1700,39,1700,175,1700,31,1700,175,,,1700,175,,
1700,180,1700,179,1700,172,,,,,,,,
1701,32,1701,4,1701,172,1701,4,1701,172,,,,
1701,33,1701,4,1701,172,1701,4,1701,172,,,,
1701,34,1701,3,,,1701,3,,,1701,3,,
1701,35,1701,178,1701,30,1701,178,1701,30,1701,178,1701,30
1701,36,1701,178,1701,30,1701,178,1701,30,1701,178,1701,30
1709,183,1709,182,,,,,,,,,,
1709,184,1709,182,,,,,,,,,,
1720,178,1720,170,1720,4,,,,,,,,
1722,37,1722,31,,,1722,31,,,,,,
1722,38,1722,33,1722,170,1722,33,,,1722,33,,
1722,40,1722,35,1722,191,1722,35,,,,,,
1722,184,1722,183,,,1722,183,,,,,,
1722,185,1722,183,,,1722,183,,,1722,183,,
1731,31,1731,3,1731,171,1731,3,1731,30,,,,
1731,32,1731,4,1731,174,1731,4,1731,174,,,,
1731,33,1731,3,1731,171,1731,3,1731,30,,,,
1731,35,1731,4,1731,174,1731,4,1731,174,,,,
1732,30,1732,8,,,1732,8,,,,,,
1732,31,1732,8,,,1732,8,,,,,,
1738,32,1738,3,1738,2,,,,,,,,
1738,33,1738,3,1738,2,,,,,,,,
1740,32,1740,170,1740,3,1740,170,1740,3,,,,
1750,31,1750,3,1750,178,1750,3,1750,178,,,,
1758,33,1758,4,,,,,,,,,,
1758,34,1758,4,,,,,,,,,,
1758,35,1758,175,,,,,,,,,,
1758,36,1758,175,,,,,,,,,,
1762,40,1762,6,1762,176,1762,176,,,,,,
1762,41,1762,32,1762,178,1762,32,1762,178,1762,32,,
1762,42,1762,6,1762,176,1762,6,,,1762,6,1762,195
1762,43,1762,32,1762,178,1762,32,1762,178,1762,32,,
1762,44,1762,30,1762,181,1762,30,1762,181,,,,
1762,45,1762,180,1762,31,1762,180,1762,31,1762,180,1762,31
1763,35,1763,6,,,1763,6,1763,179,,,,
1763,36,1763,6,,,1763,6,1763,179,1763,6,1763,179
1763,38,1763,30,,,,,,,1763,185,1763,184
1763,40,1763,30,,,,,,,1763,185,1763,184
1767,32,1767,4,1767,170,,,,,,,,
1767,33,1767,180,1767,30,1767,180,1767,30,1767,180,1767,30
1775,33,1775,4,1775,175,1775,4,1775,175,,,,
1775,35,1775,4,1775,175,1775,4,1775,175,,,,
1775,36,1775,5,1775,179,1775,5,1775,179,,,,
1775,37,1775,5,1775,179,1775,5,1775,179,1775,5,,
1775,38,1775,6,1775,182,1775,6,1775,182,1775,6,1775,182
1775,39,1775,6,1775,182,1775,6,1775,182,1775,6,1775,182
1782,33,1782,30,1782,173,1782,30,,,1782,30,,
1782,34,1782,174,1782,3,1782,174,1782,176,1782,174,1782,175
1782,35,1782,30,1782,173,1782,30,,,1782,30,,
1782,175,1782,174,1782,3,,,,,,,,
1783,30,1783,2,1783,1,1783,2,1783,1,,,,
1783,170,1783,2,1783,1,1783,2,1783,1,,,,
1784,33,1784,5,1784,171,1784,5,1784,171,1784,5,1784,171
1784,35,1784,5,1784,171,1784,5,1784,171,1784,5,1784,171
1786,45,1786,182,1786,4,1786,182,1786,4,,,,
1786,47,1786,8,1786,187,,,,,,,,
1786,48,1786,3,1786,185,1786,3,1786,185,,,,
1786,49,1786,182,1786,4,1786,182,1786,4,1786,182,1786,4
1786,50,1786,10,1786,194,,,,,,,,
1787,35,1787,171,1787,3,1787,171,1787,3,,,,
1794,32,1794,170,1794,3,,,,,,,,
1795,33,1795,5,,,,,,,,,,
1798,39,1798,34,1798,171,1798,34,1798,190,,,,
1798,40,1798,176,1798,9,1798,9,1798,191,1798,191,1798,9
1798,41,1798,33,1798,186,,,,,,,,
1799,38,1799,6,,,1799,6,,,1799,6,,
1799,39,1799,6,,,1799,6,,,1799,6,,
1802,33,1802,170,1802,3,1802,170,,,,,,
1803,30,1803,3,1803,175,1803,3,1803,175,,,,
1803,31,1803,3,1803,175,1803,3,1803,175,,,,
1805,33,1805,174,1805,4,1805,174,1805,4,,,,
1805,34,1805,174,1805,4,1805,174,1805,4,,,,
1805,175,1805,2,,,1805,2,,,,,,
1807,35,1807,170,1807,5,1807,170,1807,5,,,,
1807,37,1807,30,,,1807,30,,,1807,30,1807,176
1810,43,1810,3,,,1810,3,,,,,,
1813,32,1813,3,1813,170,1813,3,1813,170,,,,
1822,34,1822,171,1822,5,1822,171,1822,5,,,,
1823,33,1823,170,1823,3,1823,170,1823,3,,,,
1823,34,1823,171,1823,1,1823,171,1823,176,,,,
1824,176,1824,2,,,1824,2,,,,,,
1830,33,1830,3,1830,173,1830,173,1830,3,,,,
1830,34,1830,4,1830,172,,,,,,,,
1837,34,1837,172,1837,6,1837,172,1837,6,,,,
1837,35,1837,172,1837,6,1837,172,1837,6,1837,172,1837,6
1839,34,1839,31,1839,175,1839,31,1839,175,1839,31,1839,913
1839,35,1839,31,1839,175,1839,31,1839,175,1839,31,1839,913
1839,36,1839,174,1839,30,1839,174,1839,30,1839,174,,
1839,38,1839,174,1839,30,1839,174,1839,30,1839,174,,
1841,35,1841,171,1841,4,1841,171,1841,4,,,,
1841,36,1841,171,1841,4,1841,171,1841,4,1841,171,1841,4
1841,37,1841,3,1841,172,1841,3,1841,172,1841,3,1841,172
1841,39,1841,3,1841,172,1841,3,1841,172,1841,3,1841,172
1845,30,1845,3,1845,170,1845,170,1845,3,,,,
1845,31,1845,3,1845,170,1845,3,1845,170,,,,
1850,33,1850,172,1850,4,1850,172,1850,4,,,,
1850,34,1850,172,1850,4,1850,172,1850,4,,,,
1852,32,1852,30,,,1852,30,,,,,,
1859,31,1859,171,1859,4,,,,,,,,
1859,33,1859,171,1859,4,1859,171,1859,4,,,,
1862,32,1862,30,1862,171,1862,30,1862,171,1862,30,1862,171
1862,33,1862,30,1862,171,1862,30,1862,171,1862,30,1862,171
1862,173,1862,31,1862,172,,,,,1862,172,1862,31
1866,32,1866,171,,,1866,171,,,,,,
1866,33,1866,170,1866,3,1866,170,1866,3,,,,
1866,34,1866,172,1866,4,,,,,,,,
1867,33,1867,3,1867,170,1867,3,1867,170,,,,
1867,34,1867,3,1867,170,1867,3,1867,170,1867,3,1867,170
1877,176,1877,174,,,,,,,,,,
1878,33,1878,172,1878,1,1878,172,1878,1,1878,172,1878,1
1878,34,1878,172,1878,1,1878,172,1878,1,1878,172,1878,1
1879,32,1879,170,1879,30,1879,175,1879,174,,,,
1879,33,1879,170,1879,30,1879,175,1879,174,1879,175,,
1887,37,1887,5,1887,179,1887,5,1887,179,,,,
1893,34,1893,173,,,1893,173,,,,,,
1893,35,1893,173,,,1893,173,,,,,,
1893,36,1893,174,1893,3,1893,174,1893,3,1893,174,1893,3
1893,37,1893,174,1893,3,1893,174,1893,3,1893,174,1893,3
1893,38,1893,5,1893,2,1893,5,1893,177,1893,5,1893,177
1897,30,1897,3,1897,170,1897,3,1897,170,,,,
1898,30,1898,3,1898,174,1898,3,1898,174,1898,3,1898,174
1901,31,1901,30,1901,178,1901,30,,,,,,
1901,172,1901,30,1901,178,1901,2,1901,1,,,,
1905,31,1905,172,1905,5,1905,172,1905,5,,,,
1905,32,1905,172,1905,5,1905,172,1905,5,1905,172,1905,5
1905,33,1905,173,1905,4,1905,173,1905,4,1905,173,1905,4
1906,31,1906,30,1906,172,1906,30,,,1906,30,1906,905
1908,32,1908,174,,,1908,174,,,,,,
1908,33,1908,174,,,1908,174,,,1908,174,1908,176
1909,30,1909,1,1909,2,1909,1,1909,2,1909,1,1909,2
1909,31,1909,1,1909,2,1909,1,1909,2,1909,1,1909,2
1911,33,1911,6,1911,173,,,,,,,,
1911,34,1911,30,1911,177,1911,30,,,,,,
1911,35,1911,6,1911,173,,,,,,,,
1914,32,1914,3,1914,170,1914,3,1914,170,,,,
1914,33,1914,173,,,,,,,1914,30,,
1915,30,1915,171,1915,4,1915,171,1915,4,,,,
1915,31,1915,171,1915,4,1915,171,1915,4,1915,171,1915,4
1915,32,1915,5,1915,175,1915,5,1915,175,1915,5,1915,175
1917,30,1917,4,1917,173,1917,4,1917,173,,,,
1917,31,1917,172,1917,3,1917,172,1917,3,,,,
1917,32,1917,5,1917,174,1917,5,1917,174,,,,
1917,33,1917,172,1917,3,1917,172,1917,3,,,,
1917,34,1917,5,1917,174,1917,5,1917,174,1917,5,1917,174
1918,33,1918,4,1918,173,1918,4,1918,173,1918,4,,
1919,37,1919,172,1919,4,1919,172,1919,4,,,,
1919,38,1919,172,1919,4,1919,172,1919,4,,,,
1919,40,1919,170,1919,3,1919,170,1919,3,1919,170,1919,3
1919,41,1919,173,1919,6,1919,173,1919,6,1919,173,,
1919,43,1919,175,1919,7,1919,175,,,1919,175,,
1919,44,1919,9,1919,174,1919,9,1919,174,1919,9,1919,174
1919,45,1919,175,1919,7,1919,175,,,1919,175,,
1919,46,1919,9,1919,174,1919,9,1919,174,1919,9,1919,174
1920,32,1920,3,1920,170,1920,3,1920,170,,,,
1920,33,1920,3,1920,170,1920,3,1920,170,,,,
1925,31,1925,170,1925,1,1925,1,1925,170,,,,
1926,31,1926,3,1926,170,1926,3,1926,170,1926,3,1926,170
1926,32,1926,4,1926,173,,,,,,,,
1926,33,1926,3,1926,170,1926,3,1926,170,1926,3,1926,170
1928,30,1928,171,1928,4,1928,171,1928,4,1928,171,,
1930,34,1930,5,1930,172,1930,5,1930,172,,,,
1930,35,1930,5,1930,172,1930,5,1930,172,,,,
1932,35,1932,173,1932,5,1932,173,1932,5,1932,173,1932,5
1935,172,1935,4,1935,170,1935,4,1935,170,,,,
1935,173,1935,4,1935,170,1935,4,1935,170,1935,4,1935,170
1945,32,1945,179,1945,30,1945,179,1945,30,1945,30,,
1947,30,1947,3,1947,170,1947,3,1947,170,1947,3,,
1947,31,1947,171,1947,4,1947,171,1947,4,1947,171,1947,4
1947,32,1947,171,1947,4,1947,171,1947,4,1947,171,1947,4
1954,30,1954,170,1954,3,1954,170,1954,3,,,,
1954,31,1954,170,1954,3,1954,170,1954,3,1954,170,,
1954,33,1954,172,1954,4,1954,172,,,1954,172,,
1954,171,1954,172,1954,4,1954,172,,,,,,
1955,30,1955,170,1955,3,1955,170,1955,3,1955,170,1955,3
1956,30,1956,4,1956,170,,,,,1956,4,,
1959,31,1959,170,1959,3,,,,,,,,
1959,32,1959,171,1959,4,1959,171,1959,4,1959,171,1959,4
1960,32,1960,171,1960,1,1960,171,1960,1,,,,
1960,178,1960,177,,,1960,177,,,,,,
1960,179,1960,177,,,1960,177,,,,,,
1962,30,1962,176,1962,178,1962,176,,,,,,
1962,31,1962,176,1962,178,1962,176,,,1962,176,,
1965,31,1965,5,1965,171,1965,5,1965,171,,,,
1969,32,1969,30,1969,170,,,,,1969,30,1969,171
1969,33,1969,30,1969,170,,,,,1969,30,1969,171
1970,32,1970,5,1970,182,1970,5,1970,182,1970,5,1970,182
1971,33,1971,173,1971,4,1971,173,1971,4,,,,
1975,32,1975,4,1975,170,1975,4,1975,170,,,,
1975,33,1975,4,1975,170,1975,4,1975,170,1975,4,1975,170
1978,31,1978,171,1978,3,1978,171,1978,3,1978,171,1978,3
1985,30,1985,172,1985,4,1985,172,1985,4,,,,
1994,177,1994,176,1994,7,1994,176,1994,7,1994,176,1994,7
1994,178,1994,176,1994,7,1994,176,1994,7,,,,
2004,35,2004,177,2004,5,2004,177,,,,,,
2004,36,2004,177,2004,5,2004,177,,,,,,
2006,177,2006,174,2006,4,2006,174,,,,,,
2006,178,2006,174,2006,4,2006,174,,,,,,
2011,33,2011,174,2011,4,2011,174,2011,4,,,,
2011,34,2011,5,2011,173,2011,5,2011,173,,,,
2011,35,2011,5,2011,173,2011,5,2011,173,,,,
2012,32,2012,3,2012,170,2012,170,2012,3,2012,3,2012,170
2012,33,2012,3,2012,170,2012,170,2012,3,2012,3,2012,170
2012,34,2012,31,2012,172,2012,31,2012,172,2012,31,2012,172
2013,174,2013,173,2013,4,,,,,,,,
2016,31,2016,4,2016,171,2016,4,,,,,,
2016,32,2016,6,,,2016,6,,,,,,
2016,33,2016,6,,,2016,6,,,2016,6,,
2017,32,2017,172,2017,3,2017,172,2017,3,,,,
2019,31,2019,4,2019,174,2019,4,,,,,,
2019,32,2019,175,2019,5,2019,175,,,2019,175,,
2022,30,2022,170,2022,3,2022,170,2022,3,,,,
2022,31,2022,170,2022,3,2022,170,2022,3,,,,
2028,32,2028,30,,,2028,30,,,2028,30,,
2030,37,2030,4,,,,,,,,,,
2030,38,2030,174,2030,7,2030,174,2030,7,,,,
2030,39,2030,6,2030,172,2030,6,2030,172,,,,
2030,40,2030,6,2030,172,2030,6,2030,172,2030,6,2030,172
2030,41,2030,175,2030,5,2030,175,2030,5,2030,175,2030,5
2032,35,2032,172,2032,5,2032,172,,,,,,
2032,37,2032,170,2032,3,,,,,,,,
2032,40,2032,31,2032,177,2032,177,,,2032,922,2032,177
2032,41,2032,31,2032,177,2032,177,,,2032,922,2032,177
2033,30,2033,177,,,,,,,,,,
2034,31,2034,4,2034,170,2034,4,,,,,,
2034,33,2034,4,2034,170,2034,4,,,2034,4,2034,182
2034,34,2034,30,2034,177,2034,30,2034,177,2034,177,2034,30
2047,30,2047,5,2047,170,2047,5,2047,170,,,,
2047,31,2047,5,2047,170,2047,5,2047,170,2047,5,2047,170
2050,31,2050,172,2050,4,,,,,,,,
2050,32,2050,172,2050,4,2050,172,2050,4,,,,
2051,34,2051,31,2051,171,,,,,,,,
2051,35,2051,31,2051,171,,,,,,,,
2053,31,2053,172,2053,3,2053,172,2053,3,,,,
2053,32,2053,4,2053,174,2053,4,2053,174,,,,
2053,33,2053,4,2053,174,2053,4,2053,174,2053,4,2053,174
2054,30,2054,3,2054,170,2054,3,2054,170,2054,3,2054,170
2054,31,2054,3,2054,170,2054,3,2054,170,2054,3,2054,170
2055,30,2055,3,2055,175,2055,3,2055,175,,,,
2055,31,2055,5,2055,174,2055,5,2055,174,,,,
2055,32,2055,3,2055,175,2055,3,2055,175,,,,
2055,33,2055,5,2055,174,2055,5,2055,174,,,,
2055,34,2055,181,2055,4,2055,181,2055,4,2055,181,2055,4
2056,34,2056,2,2056,171,2056,2,2056,171,,,,
2059,33,2059,176,2059,32,2059,176,2059,178,2059,176,2059,178
2060,30,2060,3,2060,170,2060,3,2060,170,,,,
2061,31,2061,7,,,2061,2,,,2061,2,,
2061,32,2061,181,2061,8,2061,181,2061,8,2061,181,,
2061,183,2061,181,2061,8,,,,,,,,
2067,36,2067,188,2067,5,2067,188,2067,5,,,,
2067,37,2067,188,2067,5,2067,188,2067,5,2067,188,2067,5
2067,38,2067,189,2067,30,2067,189,2067,30,2067,189,2067,30
2073,33,2073,2,,,2073,2,,,,,,
2073,34,2073,31,2073,2,2073,31,2073,1,,,,
2075,177,2075,180,2075,179,2075,186,2075,185,,,,
2080,31,2080,170,2080,3,2080,170,2080,3,,,,
2080,32,2080,170,2080,3,2080,170,2080,3,2080,170,2080,3
2083,30,2083,171,,,2083,171,,,2083,171,,
2083,31,2083,174,2083,4,2083,174,,,2083,174,1839,182
2083,172,2083,171,,,,,,,,,,
2083,173,2083,174,2083,4,2083,174,,,,,,
2086,31,2086,4,,,2086,4,2086,172,2086,4,2086,172
2086,33,2086,4,,,2086,4,2086,172,2086,4,2086,172
2088,31,2088,4,2088,173,2088,4,2088,173,,,,
2095,32,2095,177,2095,4,2095,177,2095,4,,,,
2095,33,2095,177,2095,4,2095,177,2095,4,2095,177,2095,4
2106,31,2106,171,2106,30,,,,,,,,
2106,32,2106,171,2106,30,,,,,2106,171,2106,30
2106,33,2106,173,2106,3,,,,,,,,
2108,31,2108,3,,,2108,3,,,,,,
2108,32,2108,3,,,2108,3,,,,,,
2108,33,2108,5,2108,173,2108,5,2108,173,2108,5,,
2108,34,2108,5,2108,173,2108,5,2108,173,2108,5,,
2108,178,2108,177,2108,4,2108,177,2108,4,2108,177,2108,4
2108,179,2108,177,2108,4,2108,177,2108,4,2108,177,2108,4
2109,30,2109,2,2109,174,2109,2,2109,174,,,,
2109,31,2109,2,2109,174,2109,2,2109,174,2109,2,2109,174
2117,30,2117,3,2117,170,2117,3,2117,170,2117,3,2117,170
2117,31,2117,3,2117,170,2117,3,2117,170,2117,3,2117,170
2117,32,2117,6,2117,171,,,,,2117,6,2117,171
2117,33,2117,6,2117,171,2117,6,2117,171,2117,6,2117,171
2125,30,2125,4,2125,171,2125,4,2125,171,,,,
2125,31,2125,6,2125,170,2125,6,2125,170,,,,
2125,32,2125,4,2125,171,2125,4,2125,171,,,,
2125,34,2125,6,2125,170,2125,6,2125,170,2125,6,2125,170
2126,32,2126,170,2126,21,2126,170,2126,21,,,,
2127,30,2127,5,2127,172,,,,,,,,
2127,31,2127,5,2127,172,,,,,,,,
2128,32,2128,30,2128,171,2128,171,,,2128,30,,
2128,33,2128,30,2128,171,2128,171,,,2128,30,,
2129,32,2129,175,,,,,,,,,,
2129,33,2129,181,2129,4,2129,181,2129,4,,,,
2129,35,2129,3,2129,183,2129,183,2129,3,2129,183,,
2129,36,2129,181,2129,4,2129,181,2129,4,2129,181,,
2129,190,2129,189,2129,188,,,,,,,,
2137,34,2137,174,2137,30,2137,174,,,2137,174,2137,177
2138,33,2138,30,,,2138,30,2138,178,2138,30,2138,178
2138,176,2138,175,,,2138,175,2138,5,,,,
2143,31,2143,3,2143,170,,,,,,,,
2143,32,2143,3,2143,170,2143,3,2143,170,,,,
2150,31,2150,172,2150,3,,,,,,,,
2151,38,2151,5,2151,173,2151,5,2151,173,,,,
2151,39,2151,3,2151,174,2151,3,2151,174,,,,
2151,40,2151,177,2151,7,2151,177,2151,7,,,,
2151,41,2151,177,2151,7,2151,177,2151,7,2151,177,2151,7
2164,39,2164,3,2164,171,2164,3,2164,171,,,,
2164,41,2164,30,2164,176,2164,30,2164,176,2164,30,2164,176
2164,42,2164,30,2164,176,2164,30,2164,176,2164,30,2164,176
2175,30,2175,170,2175,3,2175,170,2175,3,,,,
2175,31,2175,170,2175,3,2175,170,2175,3,2175,170,2175,3
2175,32,2175,171,2175,4,2175,171,2175,4,2175,171,2175,4
2175,33,2175,171,2175,4,2175,171,2175,4,2175,171,2175,4
2176,31,2176,175,2176,4,2176,175,2176,4,,,,
2176,32,2176,175,2176,4,2176,175,2176,4,2176,175,2176,4
2177,31,2177,177,2177,4,2177,177,2177,4,,,,
2177,32,2177,174,2177,2,2177,174,,,,,,
2177,33,2177,177,2177,4,2177,177,2177,4,2177,177,,
2177,34,2177,178,,,2177,178,2177,185,2177,178,2177,185
2177,35,2177,5,2177,179,2177,5,2177,179,2177,5,2177,179
2177,36,2177,5,2177,179,2177,5,2177,179,2177,5,2177,179
2181,36,2181,6,,,,,,,,,,
2181,38,2181,5,,,2181,30,,,2181,30,2181,187
2188,30,2188,5,2188,174,,,,,,,,
2188,32,2188,5,2188,174,,,,,2188,5,2188,174
2191,38,2191,4,2191,173,2191,4,2191,173,,,,
2191,182,2191,7,2191,179,2191,7,2191,179,,,,
2194,185,2194,184,,,,,,,,,,
2195,178,2195,5,2195,174,2195,5,2195,174,,,,
2195,181,2195,180,2195,175,2195,180,,,2195,180,2195,195
2196,34,2196,30,2196,175,2196,30,2196,175,2196,30,2196,175
2196,35,2196,30,2196,175,2196,30,2196,175,2196,30,2196,175
2197,31,2197,30,2197,174,2197,30,2197,174,,,,
2197,32,2197,30,2197,174,2197,30,2197,174,,,,
2198,31,2198,171,,,2198,171,,,,,,
2198,32,2198,3,2198,172,2198,3,,,,,,
2198,33,2198,171,,,2198,5,2198,174,,,,
2198,34,2198,3,2198,172,2198,3,,,,,,
2198,35,2198,173,2198,4,2198,173,2198,4,2198,173,2198,4
2198,36,2198,173,2198,4,2198,173,2198,4,2198,173,2198,4
2199,35,2199,180,2199,31,2199,180,2199,31,,,,
2199,36,2199,180,2199,31,2199,180,2199,31,,,,
2201,30,2201,172,2201,3,2201,172,2201,3,2201,172,2201,3
2201,173,2201,172,2201,3,2201,172,2201,3,,,,
2205,32,2205,5,2205,172,2205,5,2205,172,,,,
2207,30,2207,21,,,2207,21,,,2207,21,2207,174
2207,31,2207,21,,,2207,21,,,2207,21,2207,174
2210,33,2210,30,2210,174,2210,30,2210,174,2210,30,2210,174
2210,35,2210,30,2210,174,2210,30,2210,174,2210,30,2210,174
2210,180,2210,179,2210,176,,,,,,,,
2210,181,2210,179,2210,176,,,,,,,,
2219,33,2219,170,2219,3,2219,3,2219,170,,,,
2219,34,2219,170,2219,3,2219,3,2219,170,2219,170,,
2224,30,2224,6,2224,179,2224,6,2224,179,,,,
2224,39,2224,6,2224,179,2224,6,2224,179,,,,
2224,40,2224,174,2224,3,2224,174,2224,3,,,,
2224,42,2224,184,2224,7,2224,184,2224,7,2224,184,2224,7
2224,44,2224,184,2224,7,2224,184,2224,7,2224,184,2224,7
2224,45,2224,33,2224,190,2224,33,2224,190,2224,33,2224,190
2225,33,2225,170,,,2225,170,2225,173,,,,
2225,34,2225,4,2225,172,2225,172,2225,4,,,,
2228,30,2228,4,2228,171,,,,,,,,
2228,31,2228,3,2228,170,,,,,,,,
2228,33,2228,3,2228,170,,,,,,,,
2228,35,2228,4,2228,171,,,,,,,,
2228,36,2228,5,2228,172,,,,,,,,
2237,31,2237,171,2237,4,2237,171,2237,4,2237,171,2237,4
2237,32,2237,172,2237,3,2237,172,2237,3,2237,172,2237,3
2238,31,2238,170,2238,3,2238,170,2238,3,,,,
2238,33,2238,170,2238,3,2238,170,2238,3,2238,170,2238,3
2238,35,2238,171,2238,5,2238,171,2238,5,,,,
2238,36,2238,171,2238,5,2238,171,2238,5,,,,
2238,37,2238,172,2238,4,2238,172,2238,174,2238,172,,
2240,31,2240,3,2240,173,2240,170,,,,,,
2240,32,2240,4,2240,171,,,,,,,,
2240,33,2240,4,2240,171,,,,,2240,4,2240,171
2240,34,2240,3,2240,173,2240,3,,,2240,3,,
2240,175,2240,30,2240,172,2240,30,,,2240,30,2240,1
2244,31,2244,170,2244,21,2244,170,2244,21,,,,
2246,30,2246,4,,,,,,,,,,
2248,33,2248,172,2248,31,2248,172,2248,31,2248,172,2248,31
2248,34,2248,172,2248,31,2248,172,2248,31,2248,172,2248,31
2250,41,2250,173,2250,5,2250,173,2250,5,,,,
2250,42,2250,6,,,2250,6,,,,,,
2250,43,2250,7,,,,,,,,,,
2250,44,2250,170,2250,4,2250,170,2250,4,,,,
2250,45,2250,181,2250,176,,,,,,,,
2251,35,2251,3,2251,171,2251,3,2251,171,,,,
2251,37,2251,3,2251,171,,,,,,,,
2251,40,2251,174,2251,6,2251,174,2251,6,,,,
2256,175,2256,174,,,,,,,,,,
2260,31,2260,6,2260,172,2260,6,2260,172,,,,
2260,33,2260,173,2260,4,2260,173,2260,4,,,,
2260,35,2260,6,2260,172,2260,6,2260,172,2260,172,,
2260,36,2260,173,2260,4,2260,173,2260,4,,,,
2261,33,2261,172,2261,4,2261,172,2261,4,,,,
2261,34,2261,172,2261,4,2261,172,2261,4,,,,
2271,32,2271,3,2271,170,2271,3,2271,170,,,,
2271,34,2271,5,2271,173,2271,5,,,2271,5,2271,175
2271,35,2271,3,2271,170,2271,3,2271,170,2271,3,2271,170
2272,33,2272,3,,,2272,3,,,2272,3,,
2276,171,2276,170,2276,1,2276,170,2276,1,,,,
2277,34,2277,8,2277,178,2277,8,2277,178,,,,
2277,35,2277,8,2277,178,2277,8,2277,178,2277,8,2277,178
2277,183,2277,181,2277,5,2277,181,2277,5,2277,181,2277,5
2277,184,2277,181,2277,5,2277,181,2277,5,2277,181,2277,5
2278,39,2278,178,2278,30,2278,178,2278,30,2278,178,2278,30
2278,40,2278,32,2278,184,,,,,,,,
2278,41,2278,182,2278,37,2278,182,2278,37,2278,182,2278,37
2278,42,2278,32,2278,184,2278,184,,,2278,32,2278,193
2278,43,2278,182,2278,37,2278,182,2278,37,2278,182,2278,37
2280,38,2280,172,2280,3,2280,172,2280,3,,,,
2280,39,2280,2,2280,171,2280,2,2280,171,,,,
2280,41,2280,172,2280,3,2280,172,2280,3,2280,172,2280,3
2280,42,2280,173,2280,4,2280,173,2280,4,2280,173,2280,4
2280,43,2280,173,2280,4,2280,173,2280,4,2280,173,2280,4
2282,178,2282,177,2282,3,2282,177,2282,3,2282,177,2282,3
2285,36,2285,175,,,2285,175,2285,4,2285,175,2285,4
2285,37,2285,175,,,2285,175,2285,4,2285,175,2285,4
2288,33,2288,4,2288,172,2288,4,2288,172,,,,
2288,34,2288,4,2288,172,2288,4,2288,172,,,,
2292,36,2292,7,,,2292,7,,,,,,
2297,34,2297,174,2297,30,2297,174,2297,30,2297,174,2297,30
2299,33,2299,172,2299,4,2299,172,2299,4,,,,
2299,34,2299,171,2299,5,2299,171,2299,5,,,,
2299,35,2299,171,2299,5,2299,171,2299,5,,,,
2299,36,2299,172,2299,4,2299,172,2299,4,,,,
2302,43,2302,189,2302,6,2302,189,2302,6,,,,
2302,47,2302,11,2302,184,2302,11,2302,184,2302,11,2302,184
2302,48,2302,201,,,2302,201,,,2302,201,2302,216
2302,49,2302,200,2302,31,2302,200,,,2302,31,,
2302,50,2302,21,,,2302,173,,,2302,173,2302,36
2302,51,2302,11,2302,184,2302,11,2302,184,2302,11,2302,184
2302,52,2302,200,2302,31,2302,200,,,2302,31,,
2302,53,2302,32,2302,202,2302,32,2302,202,2302,32,2302,202
2302,194,2302,8,2302,174,2302,8,2302,174,,,,
2302,198,2302,195,2302,3,2302,195,,,,,,
2302,199,2302,195,2302,3,2302,195,,,2302,195,,
2304,32,2304,4,2304,171,2304,4,2304,171,2304,4,2304,171
2304,33,2304,4,2304,171,2304,4,2304,171,2304,4,2304,171
2311,31,2311,1,,,2311,6,2311,174,,,,
2311,32,2311,3,2311,170,2311,3,2311,170,,,,
2311,33,2311,172,,,,,,,,,,
2311,34,2311,3,2311,170,2311,3,2311,170,,,,
2311,35,2311,172,,,,,,,2311,172,,
2323,32,2323,174,2323,3,2323,174,2323,3,2323,174,2323,3
2323,33,2323,31,2323,177,2323,31,2323,177,2323,31,2323,177
2323,34,2323,31,2323,177,2323,31,2323,177,2323,31,2323,177
2326,36,2326,35,2326,177,2326,35,,,,,,
2326,37,2326,35,2326,177,2326,35,,,,,,
2330,31,2330,30,2330,171,2330,171,,,2330,30,,
2330,32,2330,30,2330,171,2330,171,,,2330,171,,
2335,32,2335,30,2335,174,2335,30,,,,,,
2341,31,2341,172,2341,5,2341,172,2341,5,,,,
2341,32,2341,172,2341,5,2341,172,2341,5,2341,172,2341,5
2341,33,2341,4,,,2341,4,2341,174,,,,
2341,34,2341,4,,,2341,4,2341,174,,,,
