ER30001,ER30002,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCGID_07,PCGPN_07,OCGID_07,OCGPN_07
1129,39,1129,175,,,1129,175,,,,,,
1129,187,1129,32,,,,,,,,,,
1129,189,1129,175,,,1129,175,,,1129,201,1129,175
1129,197,1129,184,,,,,,,,,,
1131,32,1131,173,1131,30,1131,173,,,1131,173,1131,176
1131,34,1131,173,1131,30,1131,173,,,1131,173,1131,176
1141,34,1141,3,1141,170,,,,,,,,
1141,35,1141,171,,,1141,171,,,,,,
1141,36,1141,173,1141,6,,,,,,,,
1141,37,1141,178,1141,30,,,,,1141,2,1141,1
1141,175,1141,173,1141,6,,,,,,,,
1141,179,1141,178,1141,30,1141,2,1141,30,1141,2,1141,1
1142,31,1142,3,1142,170,1142,3,1142,170,1142,3,1142,170
1142,32,1142,3,1142,170,1142,3,1142,170,1142,3,1142,170
1142,33,1142,171,1142,30,1142,171,1142,174,1142,171,1142,174
1142,34,1142,171,1142,30,1142,171,1142,174,1142,171,1142,174
1144,36,1144,174,1144,32,1144,174,1144,32,1144,174,1144,32
1144,37,1144,175,1144,30,,,,,,,,
1149,30,1149,170,1149,4,1149,170,1149,4,,,,
1150,171,1150,3,1150,170,,,,,,,,
1150,172,1150,3,1150,170,1150,170,,,,,,
1151,34,1151,21,1151,170,,,,,,,,
1151,36,1151,6,1151,172,,,,,,,,
1151,37,1151,173,1151,4,1151,173,1151,4,,,,
1151,38,1151,6,1151,172,,,,,,,,
1151,39,1151,173,1151,4,1151,173,1151,4,,,,
1152,38,1152,176,1152,35,1152,176,1152,35,1152,176,1152,35
1154,30,1154,179,,,1154,179,1154,181,,,,
1161,30,1161,171,1161,4,1161,171,1161,4,1161,171,1161,4
1163,36,1163,4,1163,170,1163,4,1163,170,,,,
1163,37,1163,171,1163,6,1163,171,1163,6,,,,
1163,38,1163,171,1163,6,1163,171,1163,6,,,,
1163,39,1163,173,1163,5,1163,173,1163,5,,,,
1163,40,1163,174,1163,7,1163,174,1163,7,,,,
1163,41,1163,174,1163,7,1163,174,1163,7,,,,
1163,42,1163,172,1163,3,1163,172,1163,3,1163,172,1163,3
1163,43,1163,173,1163,5,1163,173,1163,5,1163,173,1163,5
1163,45,1163,175,1163,30,1163,175,1163,30,1163,175,1163,30
1164,33,1164,173,1164,3,1164,173,1164,3,,,,
1166,37,1166,180,1166,9,1166,180,1166,9,,,,
1167,41,1167,32,,,1167,32,,,,,,
1167,42,1167,33,1167,178,1167,33,1167,178,1167,33,,
1167,43,1167,32,,,1167,32,,,1167,32,,
1167,44,1167,30,,,1167,30,,,1167,30,,
1167,45,1167,30,,,1167,30,,,1167,30,,
1167,46,1167,33,1167,178,1167,33,1167,178,1167,33,,
1168,35,1168,3,,,1168,3,,,,,,
1168,36,1168,3,,,1168,3,,,,,,
1168,37,1168,8,,,1168,8,,,1168,8,,
1168,174,1168,31,,,1168,31,,,,,,
1168,175,1168,31,,,1168,31,,,,,,
1169,30,1169,3,1169,176,1169,3,1169,176,,,,
1169,31,1169,3,1169,176,1169,3,1169,176,,,,
1178,176,1178,175,1178,5,,,,,,,,
1178,177,1178,175,1178,5,1178,175,1178,5,,,,
1179,33,1179,30,1179,172,,,,,,,,
1184,39,1184,174,1184,7,1184,174,1184,7,,,,
1184,40,1184,171,1184,6,1184,171,1184,6,,,,
1184,41,1184,174,1184,7,1184,174,1184,7,,,,
1184,43,1184,33,,,,,,,1184,33,,
1185,32,1185,177,1185,5,1185,5,1185,177,1185,173,1185,175
1185,34,1185,177,1185,5,1185,5,1185,177,1185,5,1185,179
1192,33,1192,3,1192,171,1192,3,1192,171,,,,
1192,34,1192,5,1192,172,1192,5,1192,172,,,,
1192,35,1192,3,1192,171,1192,3,1192,171,,,,
1200,34,1200,4,1200,172,,,,,,,,
1210,31,1210,171,1210,173,1210,171,1210,173,,,,
1213,31,1213,4,,,1213,4,1213,177,1213,4,1213,177
1220,30,1220,171,1220,4,1220,171,1220,1,,,,
1220,31,1220,171,1220,4,1220,171,1220,1,,,,
1221,31,1221,173,1221,4,1221,4,1221,173,,,,
1221,32,1221,173,1221,4,1221,4,1221,173,,,,
1221,33,1221,170,1221,3,1221,170,1221,3,,,,
1221,34,1221,170,1221,3,1221,170,1221,3,,,,
1221,35,1221,5,1221,172,1221,172,,,1221,172,,
1221,36,1221,5,1221,172,1221,172,,,1221,172,,
1222,34,1222,4,1222,174,1222,4,1222,174,,,,
1222,35,1222,5,1222,178,1222,5,1222,199,,,,
1222,185,1222,4,1222,174,1222,4,1222,174,,,,
1222,189,1222,3,1222,186,1222,3,1222,186,,,,
1225,31,1225,170,,,1225,170,,,,,,
1227,34,1227,180,1227,22,1227,180,1227,22,,,,
1227,35,1227,193,1227,2,1227,193,1227,2,1227,193,1227,2
1227,195,1227,194,1227,193,,,,,,,,
1230,31,1230,30,1230,171,1230,30,1230,171,1230,30,1230,171
1233,34,1233,30,1233,173,1233,30,1233,173,1233,30,1233,173
1233,35,1233,30,1233,173,1233,30,1233,173,1233,30,1233,173
1236,31,1236,170,,,1236,170,,,,,,
1236,32,1236,172,1236,4,1236,172,1236,4,1236,172,1236,4
1241,35,1241,33,1241,2,,,,,1241,33,1241,174
1242,32,1242,171,1242,3,1242,171,1242,3,,,,
1242,33,1242,177,1242,5,1242,177,1242,5,,,,
1242,34,1242,176,1242,4,1242,176,1242,4,,,,
1242,35,1242,6,1242,178,1242,6,,,1242,6,,
1242,36,1242,176,1242,4,1242,176,1242,4,1242,176,1242,4
