"","ID","educ","ed","year_meas"
"79362",9026030,NA,NA,-1
"79363",9026170,12,"12",1990
"79364",9026171,12,"12",1993
"79365",9027001,2,"<12",1994
"79366",9027002,11,"<12",1994
"79367",9028001,6,"<12",1995
"79368",9028002,6,"<12",1995
"79369",9028003,16,"16",1995
"79370",9028004,12,"12",1995
"79371",9029001,9,"<12",1995
"79372",9029002,14,"13-15",1995
"79373",9030001,4,"<12",1991
"79374",9030002,9,"<12",1991
"79375",9030003,10,"<12",1990
"79376",9031001,10,"<12",1993
"79377",9031002,NA,NA,-1
"79378",9031030,NA,NA,-1
"79379",9031031,NA,NA,-1
"79380",9031170,1,"<12",1993
"79381",9032001,6,"<12",1995
"79382",9033001,9,"<12",1992
"79383",9033002,NA,NA,-1
"79384",9033003,NA,NA,-1
"79385",9033004,NA,NA,-1
"79386",9033170,NA,NA,-1
"79387",9034001,6,"<12",1991
"79388",9034002,12,"12",1991
"79389",9034003,11,"<12",1991
"79390",9034004,NA,NA,-1
