"","ID","educ","ed","year_meas"
"80346",9246002,12,"12",1995
"80347",9246003,NA,NA,-1
"80348",9247001,4,"<12",1995
"80349",9247002,12,"12",1995
"80350",9247003,12,"12",1995
"80351",9248001,14,"13-15",1995
"80352",9248002,15,"13-15",1994
"80353",9248021,NA,NA,-1
"80354",9249001,4,"<12",1995
"80355",9249002,12,"12",1995
"80356",9250001,12,"12",1994
"80357",9250002,14,"13-15",1994
"80358",9250003,12,"12",1994
"80359",9250004,11,"<12",1994
"80360",9251001,3,"<12",1992
"80361",9251002,NA,NA,-1
"80362",9251003,11,"<12",1992
"80363",9251004,NA,NA,-1
"80364",9251005,NA,NA,-1
"80365",9251006,NA,NA,-1
"80366",9251170,NA,NA,-1
"80367",9252001,6,"<12",1995
"80368",9252002,9,"<12",1995
"80369",9252003,11,"<12",1992
"80370",9252004,10,"<12",1995
"80371",9252005,NA,NA,-1
"80372",9252006,12,"12",1995
"80373",9252030,NA,NA,-1
"80374",9252170,12,"12",1995
"80375",9253001,14,"13-15",1992
"80376",9253002,15,"13-15",1992
"80377",9254001,6,"<12",1995
"80378",9254002,6,"<12",1995
"80379",9254003,NA,NA,-1
"80380",9254004,NA,NA,-1
"80381",9254005,NA,NA,-1
"80382",9255001,13,"13-15",1995
"80383",9255170,16,"16",1994
"80384",9256001,3,"<12",1995
"80385",9256002,12,"12",1995
"80386",9256003,NA,NA,-1
"80387",9256004,NA,NA,-1
"80388",9256005,NA,NA,-1
"80389",9257001,1,"<12",1995
"80390",9257002,9,"<12",1995
"80391",9257030,NA,NA,-1
"80392",9257031,NA,NA,-1
"80393",9258001,9,"<12",1993
"80394",9258002,10,"<12",1995
"80395",9258003,12,"12",1995
"80396",9258004,NA,NA,-1
"80397",9258005,NA,NA,-1
"80398",9258170,NA,NA,-1
"80399",9258171,3,"<12",1993
"80400",9259001,16,"16",1995
"80401",9259002,16,"16",1995
"80402",9259003,NA,NA,-1
"80403",9259030,NA,NA,-1
"80404",9260001,12,"12",1993
"80405",9260170,2,"<12",1993
"80406",9261001,3,"<12",1994
"80407",9261002,7,"<12",1994
"80408",9262001,11,"<12",1995
"80409",9262002,12,"12",1993
"80410",9262003,12,"12",1995
"80411",9262004,15,"13-15",1995
"80412",9262030,NA,NA,-1
"80413",9262031,NA,NA,-1
"80414",9262170,12,"12",1993
"80415",9262171,NA,NA,-1
"80416",9263001,12,"12",1994
"80417",9263002,13,"13-15",1994
"80418",9263003,13,"13-15",1994
"80419",9263004,12,"12",1994
"80420",9263005,NA,NA,-1
"80421",9264001,9,"<12",1995
"80422",9264002,4,"<12",1993
"80423",9264003,10,"<12",1995
"80424",9264004,10,"<12",1995
"80425",9264030,NA,NA,-1
"80426",9264031,NA,NA,-1
"80427",9264032,NA,NA,-1
"80428",9264033,NA,NA,-1
"80429",9265001,8,"<12",1993
